Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 24427.111 | RinTohsaka: 24185.050 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   48: Team DPAV: 24334.922 | RinTohsaka: 24090.198 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   49: Team DPAV: 23110.426 | RinTohsaka: 22868.365 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   50: Team DPAV: 23803.625 | RinTohsaka: 23561.564 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   51: Team DPAV: 24159.378 | RinTohsaka: 23921.937 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   52: Team DPAV: 24936.755 | RinTohsaka: 24699.314 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   53: Team DPAV: 24302.061 | RinTohsaka: 24064.620 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   54: Team DPAV: 27567.478 | RinTohsaka: 27330.037 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   55: Team DPAV: 25278.271 | RinTohsaka: 25036.210 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   56: Team DPAV: 24728.237 | RinTohsaka: 24490.796 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   57: Team DPAV: 24249.915 | RinTohsaka: 24012.474 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   58: Team DPAV: 25278.271 | RinTohsaka: 25036.210 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   59: Team DPAV: 23725.148 | RinTohsaka: 23487.707 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   60: Team DPAV: 23631.171 | RinTohsaka: 23393.730 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   61: Team DPAV: 26011.455 | RinTohsaka: 25755.357 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 256.098
Run   62: Team DPAV: 23872.962 | RinTohsaka: 23635.521 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   63: Team DPAV: 23947.853 | RinTohsaka: 23705.792 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   64: Team DPAV: 23947.853 | RinTohsaka: 23705.792 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   65: Team DPAV: 23872.962 | RinTohsaka: 23635.521 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   66: Team DPAV: 23872.962 | RinTohsaka: 23635.521 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   67: Team DPAV: 27838.532 | RinTohsaka: 27599.445 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   68: Team DPAV: 23110.426 | RinTohsaka: 22868.365 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   69: Team DPAV: 25291.290 | RinTohsaka: 25052.203 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   70: Team DPAV: 26063.703 | RinTohsaka: 25821.642 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   71: Team DPAV: 23381.077 | RinTohsaka: 23143.636 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   72: Team DPAV: 23803.625 | RinTohsaka: 23561.564 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   73: Team DPAV: 24302.061 | RinTohsaka: 24064.620 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   74: Team DPAV: 26180.414 | RinTohsaka: 25938.354 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   75: Team DPAV: 24303.979 | RinTohsaka: 24067.645 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 236.334
Run   76: Team DPAV: 23390.666 | RinTohsaka: 23148.605 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   77: Team DPAV: 23381.077 | RinTohsaka: 23143.636 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   78: Team DPAV: 24249.915 | RinTohsaka: 24012.474 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   79: Team DPAV: 23381.077 | RinTohsaka: 23143.636 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   80: Team DPAV: 24002.694 | RinTohsaka: 23765.253 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   81: Team DPAV: 24862.548 | RinTohsaka: 24620.487 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   82: Team DPAV: 25248.559 | RinTohsaka: 25011.118 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   83: Team DPAV: 24431.145 | RinTohsaka: 24193.704 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   84: Team DPAV: 24728.237 | RinTohsaka: 24490.796 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   85: Team DPAV: 28525.252 | RinTohsaka: 28286.164 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   86: Team DPAV: 24993.926 | RinTohsaka: 24751.866 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   87: Team DPAV: 23947.853 | RinTohsaka: 23705.792 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   88: Team DPAV: 28756.837 | RinTohsaka: 28517.749 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   89: Team DPAV: 23805.317 | RinTohsaka: 23566.229 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
Run   90: Team DPAV: 26671.999 | RinTohsaka: 26429.938 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   91: Team DPAV: 24641.954 | RinTohsaka: 24399.893 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   92: Team DPAV: 26123.044 | RinTohsaka: 25878.320 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 244.724
Run   93: Team DPAV: 23631.171 | RinTohsaka: 23393.730 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   94: Team DPAV: 24249.915 | RinTohsaka: 24012.474 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   95: Team DPAV: 24768.526 | RinTohsaka: 24531.085 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   96: Team DPAV: 24028.000 | RinTohsaka: 23790.559 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   97: Team DPAV: 23280.093 | RinTohsaka: 23038.032 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 242.061
Run   98: Team DPAV: 24159.378 | RinTohsaka: 23921.937 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 237.441
Run   99: Team DPAV: 25343.357 | RinTohsaka: 25104.269 | Sparkle: 0.000 | Sunday: 0.000 | Lingsha: 239.088
