Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 20035.803 | Ashveil: 18193.546 | Sparkle: 0.000 | Tribbie: 1741.656 | HuoHuo: 0.000
Run   48: Team DPAV: 19874.183 | Ashveil: 17964.288 | Sparkle: 0.000 | Tribbie: 1809.293 | HuoHuo: 0.000
Run   49: Team DPAV: 20607.240 | Ashveil: 18672.350 | Sparkle: 0.000 | Tribbie: 1814.638 | HuoHuo: 0.000
Run   50: Team DPAV: 19447.532 | Ashveil: 17615.267 | Sparkle: 0.000 | Tribbie: 1731.664 | HuoHuo: 0.000
Run   51: Team DPAV: 19915.076 | Ashveil: 17999.848 | Sparkle: 0.000 | Tribbie: 1815.063 | HuoHuo: 0.000
Run   52: Team DPAV: 22652.543 | Ashveil: 20495.407 | Sparkle: 0.000 | Tribbie: 2037.321 | HuoHuo: 0.000
Run   53: Team DPAV: 20289.957 | Ashveil: 18348.358 | Sparkle: 0.000 | Tribbie: 1821.347 | HuoHuo: 0.000
Run   54: Team DPAV: 19992.385 | Ashveil: 18013.864 | Sparkle: 0.000 | Tribbie: 1878.356 | HuoHuo: 0.000
Run   55: Team DPAV: 20545.683 | Ashveil: 18483.156 | Sparkle: 0.000 | Tribbie: 1962.362 | HuoHuo: 0.000
Run   56: Team DPAV: 20598.549 | Ashveil: 18542.365 | Sparkle: 0.000 | Tribbie: 1975.233 | HuoHuo: 0.000
Run   57: Team DPAV: 20223.404 | Ashveil: 18063.025 | Sparkle: 0.000 | Tribbie: 2020.475 | HuoHuo: 0.000
Run   58: Team DPAV: 19589.505 | Ashveil: 17661.669 | Sparkle: 0.000 | Tribbie: 1807.583 | HuoHuo: 0.000
Run   59: Team DPAV: 19836.669 | Ashveil: 17738.514 | Sparkle: 0.000 | Tribbie: 1958.253 | HuoHuo: 0.000
Run   60: Team DPAV: 19614.444 | Ashveil: 17706.089 | Sparkle: 0.000 | Tribbie: 1807.753 | HuoHuo: 0.000
Run   61: Team DPAV: 20625.643 | Ashveil: 18639.899 | Sparkle: 0.000 | Tribbie: 1885.142 | HuoHuo: 0.000
Run   62: Team DPAV: 20079.927 | Ashveil: 18100.314 | Sparkle: 0.000 | Tribbie: 1879.448 | HuoHuo: 0.000
