Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 21871.557 | RinTohsaka: 18792.737 | Sunday: 0.000 | MortenaxBlade: 3034.301 | HuoHuo: 44.518
Run   45: Team DPAV: 21872.583 | RinTohsaka: 18863.460 | Sunday: 0.000 | MortenaxBlade: 2970.061 | HuoHuo: 39.063
Run   46: Team DPAV: 23001.402 | RinTohsaka: 20058.337 | Sunday: 0.000 | MortenaxBlade: 2904.001 | HuoHuo: 39.063
Run   47: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   48: Team DPAV: 22518.405 | RinTohsaka: 19506.714 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run   49: Team DPAV: 22518.405 | RinTohsaka: 19506.714 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run   50: Team DPAV: 23025.179 | RinTohsaka: 19923.152 | Sunday: 0.000 | MortenaxBlade: 3062.964 | HuoHuo: 39.063
Run   51: Team DPAV: 21697.823 | RinTohsaka: 18623.028 | Sunday: 0.000 | MortenaxBlade: 3032.548 | HuoHuo: 42.247
Run   52: Team DPAV: 21872.583 | RinTohsaka: 18863.460 | Sunday: 0.000 | MortenaxBlade: 2970.061 | HuoHuo: 39.063
Run   53: Team DPAV: 23557.318 | RinTohsaka: 20508.445 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   54: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   55: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   56: Team DPAV: 22946.208 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2892.207 | HuoHuo: 42.134
Run   57: Team DPAV: 22935.638 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2884.708 | HuoHuo: 39.063
Run   58: Team DPAV: 23689.416 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3006.738 | HuoHuo: 42.134
Run   59: Team DPAV: 23213.509 | RinTohsaka: 20141.366 | Sunday: 0.000 | MortenaxBlade: 3030.010 | HuoHuo: 42.134
Run   60: Team DPAV: 22505.029 | RinTohsaka: 19492.135 | Sunday: 0.000 | MortenaxBlade: 2973.831 | HuoHuo: 39.063
Run   61: Team DPAV: 22834.403 | RinTohsaka: 19700.949 | Sunday: 0.000 | MortenaxBlade: 3088.099 | HuoHuo: 45.355
Run   62: Team DPAV: 22732.782 | RinTohsaka: 19722.178 | Sunday: 0.000 | MortenaxBlade: 2971.542 | HuoHuo: 39.063
Run   63: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   64: Team DPAV: 23566.482 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2886.876 | HuoHuo: 39.063
Run   65: Team DPAV: 23692.212 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 3009.535 | HuoHuo: 42.134
Run   66: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   67: Team DPAV: 22518.405 | RinTohsaka: 19506.714 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
Run   68: Team DPAV: 22572.232 | RinTohsaka: 19556.531 | Sunday: 0.000 | MortenaxBlade: 2976.638 | HuoHuo: 39.063
Run   69: Team DPAV: 23589.754 | RinTohsaka: 20640.543 | Sunday: 0.000 | MortenaxBlade: 2910.147 | HuoHuo: 39.063
Run   70: Team DPAV: 22946.208 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2892.207 | HuoHuo: 42.134
Run   71: Team DPAV: 22935.638 | RinTohsaka: 20011.868 | Sunday: 0.000 | MortenaxBlade: 2884.708 | HuoHuo: 39.063
Run   72: Team DPAV: 22107.111 | RinTohsaka: 19492.135 | Sunday: 0.000 | MortenaxBlade: 2575.913 | HuoHuo: 39.063
Run   73: Team DPAV: 21558.869 | RinTohsaka: 18547.179 | Sunday: 0.000 | MortenaxBlade: 2972.627 | HuoHuo: 39.063
