Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 48493.606 | Saber: 22560.019 | Gilgamesh: 20372.485 | MortenaxBlade: 5255.790 | HuoHuo: 43.173
Run   45: Team DPAV: 48476.443 | Saber: 22560.019 | Gilgamesh: 20372.485 | MortenaxBlade: 5255.790 | HuoHuo: 43.173
Run   46: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   47: Team DPAV: 46247.013 | Saber: 21667.634 | Gilgamesh: 18986.630 | MortenaxBlade: 5299.248 | HuoHuo: 48.525
Run   48: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   49: Team DPAV: 46247.013 | Saber: 21667.634 | Gilgamesh: 18986.630 | MortenaxBlade: 5299.248 | HuoHuo: 48.525
Run   50: Team DPAV: 44740.465 | Saber: 22420.870 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   51: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   52: Team DPAV: 44982.449 | Saber: 22662.854 | Gilgamesh: 16694.763 | MortenaxBlade: 5319.521 | HuoHuo: 43.173
Run   53: Team DPAV: 48955.063 | Saber: 23230.260 | Gilgamesh: 20003.556 | MortenaxBlade: 5409.697 | HuoHuo: 49.411
Run   54: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   55: Team DPAV: 39747.720 | Saber: 19179.987 | Gilgamesh: 15095.729 | MortenaxBlade: 5160.454 | HuoHuo: 49.411
Run   56: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   57: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   58: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   59: Team DPAV: 51929.346 | Saber: 24730.700 | Gilgamesh: 21490.857 | MortenaxBlade: 5379.076 | HuoHuo: 49.411
Run   60: Team DPAV: 45820.014 | Saber: 23433.743 | Gilgamesh: 16722.323 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   61: Team DPAV: 48462.276 | Saber: 22518.291 | Gilgamesh: 20400.046 | MortenaxBlade: 5255.790 | HuoHuo: 43.173
Run   62: Team DPAV: 39901.354 | Saber: 19232.170 | Gilgamesh: 15345.576 | MortenaxBlade: 5030.108 | HuoHuo: 48.525
Run   63: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   64: Team DPAV: 45611.676 | Saber: 23492.055 | Gilgamesh: 16446.540 | MortenaxBlade: 5365.431 | HuoHuo: 45.511
Run   65: Team DPAV: 45820.014 | Saber: 23433.743 | Gilgamesh: 16722.323 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   66: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   67: Team DPAV: 45834.181 | Saber: 23475.471 | Gilgamesh: 16694.763 | MortenaxBlade: 5358.636 | HuoHuo: 43.173
Run   68: Team DPAV: 50450.311 | Saber: 24650.130 | Gilgamesh: 20077.272 | MortenaxBlade: 5394.197 | HuoHuo: 49.411
