Simulation Results - 100 runs
================================================================================

Run   46: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   47: Team DPAV: 32041.983 | MortenaxBlade: 31948.816 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   48: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   49: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   50: Team DPAV: 34070.869 | MortenaxBlade: 33979.441 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   51: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   52: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   53: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   54: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   55: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   56: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   57: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   58: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   59: Team DPAV: 34060.985 | MortenaxBlade: 33969.557 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   60: Team DPAV: 34060.985 | MortenaxBlade: 33969.557 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   61: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   62: Team DPAV: 30561.309 | MortenaxBlade: 30468.141 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   63: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   64: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   65: Team DPAV: 36788.944 | MortenaxBlade: 36699.309 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   66: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   67: Team DPAV: 32705.645 | MortenaxBlade: 32616.246 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   68: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   69: Team DPAV: 31914.620 | MortenaxBlade: 31821.453 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   70: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   71: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   72: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   73: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   74: Team DPAV: 35625.589 | MortenaxBlade: 35536.876 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   75: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   76: Team DPAV: 34060.985 | MortenaxBlade: 33969.557 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   77: Team DPAV: 34060.985 | MortenaxBlade: 33969.557 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   78: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   79: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   80: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
Run   81: Team DPAV: 34188.348 | MortenaxBlade: 34096.920 | Sunday: 0.000 | Sparkle: 0.000 | HuoHuo: 0.000
