Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 26432.989 | RinTohsaka: 26409.744 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   48: Team DPAV: 27214.042 | RinTohsaka: 27190.962 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.080
Run   49: Team DPAV: 26849.439 | RinTohsaka: 26826.194 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   50: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   51: Team DPAV: 28235.410 | RinTohsaka: 28212.108 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   52: Team DPAV: 26115.298 | RinTohsaka: 26092.053 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   53: Team DPAV: 26419.385 | RinTohsaka: 26396.140 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   54: Team DPAV: 25483.277 | RinTohsaka: 25459.975 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   55: Team DPAV: 25052.092 | RinTohsaka: 25028.847 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   56: Team DPAV: 26698.899 | RinTohsaka: 26675.598 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   57: Team DPAV: 27454.922 | RinTohsaka: 27432.036 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.886
Run   58: Team DPAV: 29177.055 | RinTohsaka: 29153.810 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   59: Team DPAV: 27828.121 | RinTohsaka: 27804.819 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   60: Team DPAV: 28235.410 | RinTohsaka: 28212.108 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   61: Team DPAV: 27385.992 | RinTohsaka: 27362.747 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   62: Team DPAV: 28615.362 | RinTohsaka: 28592.117 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   63: Team DPAV: 28169.053 | RinTohsaka: 28145.751 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   64: Team DPAV: 27949.083 | RinTohsaka: 27925.781 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   65: Team DPAV: 28408.457 | RinTohsaka: 28385.212 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   66: Team DPAV: 27368.101 | RinTohsaka: 27344.856 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   67: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   68: Team DPAV: 27397.244 | RinTohsaka: 27374.409 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.835
Run   69: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   70: Team DPAV: 26432.989 | RinTohsaka: 26409.744 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   71: Team DPAV: 24963.800 | RinTohsaka: 24940.555 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   72: Team DPAV: 28353.944 | RinTohsaka: 28330.699 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   73: Team DPAV: 28169.053 | RinTohsaka: 28145.751 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   74: Team DPAV: 25052.092 | RinTohsaka: 25028.847 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   75: Team DPAV: 26485.026 | RinTohsaka: 26461.781 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   76: Team DPAV: 25052.092 | RinTohsaka: 25028.847 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   77: Team DPAV: 26873.265 | RinTohsaka: 26850.379 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.886
Run   78: Team DPAV: 26419.385 | RinTohsaka: 26396.140 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   79: Team DPAV: 28353.944 | RinTohsaka: 28330.699 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   80: Team DPAV: 25642.768 | RinTohsaka: 25619.524 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   81: Team DPAV: 29055.523 | RinTohsaka: 29032.222 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   82: Team DPAV: 28235.410 | RinTohsaka: 28212.108 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.302
Run   83: Team DPAV: 28265.625 | RinTohsaka: 28242.380 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   84: Team DPAV: 26410.938 | RinTohsaka: 26387.693 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   85: Team DPAV: 27412.981 | RinTohsaka: 27389.736 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   86: Team DPAV: 26432.989 | RinTohsaka: 26409.744 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   87: Team DPAV: 27639.153 | RinTohsaka: 27615.908 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   88: Team DPAV: 26419.385 | RinTohsaka: 26396.140 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   89: Team DPAV: 27465.019 | RinTohsaka: 27441.774 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   90: Team DPAV: 26512.145 | RinTohsaka: 26488.900 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   91: Team DPAV: 26405.464 | RinTohsaka: 26383.039 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 22.425
Run   92: Team DPAV: 27755.795 | RinTohsaka: 27732.551 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
Run   93: Team DPAV: 26567.771 | RinTohsaka: 26544.526 | Sparkle: 0.000 | Sunday: 0.000 | HuoHuo: 23.245
