Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 19186.764 | Feixiao: 9988.376 | MortenaxBlade: 6897.946 | Robin: 2163.004 | HuoHuo: 64.668
Run   46: Team DPAV: 17962.797 | Feixiao: 9075.313 | MortenaxBlade: 6878.928 | Robin: 1871.117 | HuoHuo: 64.668
Run   47: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   48: Team DPAV: 18032.230 | Feixiao: 9563.857 | MortenaxBlade: 6547.772 | Robin: 1788.796 | HuoHuo: 63.154
Run   49: Team DPAV: 19186.764 | Feixiao: 9988.376 | MortenaxBlade: 6897.946 | Robin: 2163.004 | HuoHuo: 64.668
Run   50: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   51: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   52: Team DPAV: 17962.797 | Feixiao: 9075.313 | MortenaxBlade: 6878.928 | Robin: 1871.117 | HuoHuo: 64.668
Run   53: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   54: Team DPAV: 18032.230 | Feixiao: 9563.857 | MortenaxBlade: 6547.772 | Robin: 1788.796 | HuoHuo: 63.154
Run   55: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   56: Team DPAV: 18036.943 | Feixiao: 9535.880 | MortenaxBlade: 6659.517 | Robin: 1706.476 | HuoHuo: 62.300
Run   57: Team DPAV: 19254.928 | Feixiao: 9179.063 | MortenaxBlade: 7868.876 | Robin: 2056.096 | HuoHuo: 78.122
Run   58: Team DPAV: 17617.629 | Feixiao: 9453.402 | MortenaxBlade: 6436.663 | Robin: 1592.493 | HuoHuo: 62.300
Run   59: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   60: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   61: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
Run   62: Team DPAV: 18883.794 | Feixiao: 9535.880 | MortenaxBlade: 7449.376 | Robin: 1763.467 | HuoHuo: 62.300
Run   63: Team DPAV: 17962.797 | Feixiao: 9075.313 | MortenaxBlade: 6878.928 | Robin: 1871.117 | HuoHuo: 64.668
Run   64: Team DPAV: 19213.403 | Feixiao: 9988.376 | MortenaxBlade: 6924.585 | Robin: 2163.004 | HuoHuo: 64.668
Run   65: Team DPAV: 18063.582 | Feixiao: 9535.880 | MortenaxBlade: 6686.156 | Robin: 1706.476 | HuoHuo: 62.300
Run   66: Team DPAV: 18011.969 | Feixiao: 9563.857 | MortenaxBlade: 6527.510 | Robin: 1788.796 | HuoHuo: 63.154
