Simulation Results - 100 runs
================================================================================

Run   43: Team DPAV: 25750.253 | Acheron: 20917.974 | MortenaxBlade: 3443.759 | Jiaoqiu: 677.263 | HuoHuo: 19.998
Run   44: Team DPAV: 23276.076 | Acheron: 18765.800 | MortenaxBlade: 3228.756 | Jiaoqiu: 609.001 | HuoHuo: 17.970
Run   45: Team DPAV: 25790.298 | Acheron: 20946.396 | MortenaxBlade: 3470.266 | Jiaoqiu: 677.455 | HuoHuo: 17.970
Run   46: Team DPAV: 25767.657 | Acheron: 20799.245 | MortenaxBlade: 3456.707 | Jiaoqiu: 826.750 | HuoHuo: 17.970
Run   47: Team DPAV: 25660.906 | Acheron: 20864.483 | MortenaxBlade: 3408.490 | Jiaoqiu: 721.957 | HuoHuo: 17.970
Run   48: Team DPAV: 25942.159 | Acheron: 20721.157 | MortenaxBlade: 3808.749 | Jiaoqiu: 711.472 | HuoHuo: 21.072
Run   49: Team DPAV: 26326.765 | Acheron: 20920.585 | MortenaxBlade: 4000.814 | Jiaoqiu: 680.694 | HuoHuo: 19.998
Run   50: Team DPAV: 26009.779 | Acheron: 21168.777 | MortenaxBlade: 3418.942 | Jiaoqiu: 750.148 | HuoHuo: 17.970
Run   51: Team DPAV: 22907.917 | Acheron: 18261.478 | MortenaxBlade: 3334.666 | Jiaoqiu: 618.319 | HuoHuo: 17.970
Run   52: Team DPAV: 25746.834 | Acheron: 20881.231 | MortenaxBlade: 3436.217 | Jiaoqiu: 753.220 | HuoHuo: 17.970
Run   53: Team DPAV: 26486.402 | Acheron: 21099.179 | MortenaxBlade: 3957.378 | Jiaoqiu: 762.837 | HuoHuo: 17.970
Run   54: Team DPAV: 24785.226 | Acheron: 20081.202 | MortenaxBlade: 3345.488 | Jiaoqiu: 685.580 | HuoHuo: 17.970
Run   55: Team DPAV: 25675.601 | Acheron: 20885.069 | MortenaxBlade: 3412.285 | Jiaoqiu: 710.997 | HuoHuo: 17.970
Run   56: Team DPAV: 26179.873 | Acheron: 21148.966 | MortenaxBlade: 3583.985 | Jiaoqiu: 767.402 | HuoHuo: 17.970
Run   57: Team DPAV: 25587.515 | Acheron: 20936.298 | MortenaxBlade: 3366.387 | Jiaoqiu: 616.476 | HuoHuo: 17.970
Run   58: Team DPAV: 23223.021 | Acheron: 18857.667 | MortenaxBlade: 3118.414 | Jiaoqiu: 579.912 | HuoHuo: 17.970
Run   59: Team DPAV: 25678.792 | Acheron: 20949.100 | MortenaxBlade: 3453.906 | Jiaoqiu: 591.319 | HuoHuo: 17.970
Run   60: Team DPAV: 25730.377 | Acheron: 20830.333 | MortenaxBlade: 3489.058 | Jiaoqiu: 735.205 | HuoHuo: 17.970
Run   61: Team DPAV: 25725.651 | Acheron: 20961.999 | MortenaxBlade: 3406.410 | Jiaoqiu: 673.096 | HuoHuo: 17.970
Run   62: Team DPAV: 24638.679 | Acheron: 19792.919 | MortenaxBlade: 3485.695 | Jiaoqiu: 661.277 | HuoHuo: 21.072
Run   63: Team DPAV: 26143.739 | Acheron: 20951.962 | MortenaxBlade: 3855.880 | Jiaoqiu: 636.505 | HuoHuo: 21.072
Run   64: Team DPAV: 21549.143 | Acheron: 17321.342 | MortenaxBlade: 2965.146 | Jiaoqiu: 592.448 | HuoHuo: 17.970
Run   65: Team DPAV: 26622.766 | Acheron: 21310.316 | MortenaxBlade: 3830.485 | Jiaoqiu: 751.438 | HuoHuo: 18.796
Run   66: Team DPAV: 22027.132 | Acheron: 17431.294 | MortenaxBlade: 3263.198 | Jiaoqiu: 637.506 | HuoHuo: 19.998
Run   67: Team DPAV: 25471.141 | Acheron: 20878.808 | MortenaxBlade: 3355.097 | Jiaoqiu: 552.769 | HuoHuo: 17.970
Run   68: Team DPAV: 25665.223 | Acheron: 20806.207 | MortenaxBlade: 3436.377 | Jiaoqiu: 742.393 | HuoHuo: 17.970
Run   69: Team DPAV: 22023.258 | Acheron: 17419.653 | MortenaxBlade: 3255.556 | Jiaoqiu: 649.348 | HuoHuo: 19.998
Run   70: Team DPAV: 22527.616 | Acheron: 17936.291 | MortenaxBlade: 3270.186 | Jiaoqiu: 649.215 | HuoHuo: 17.970
Run   71: Team DPAV: 25379.381 | Acheron: 20771.034 | MortenaxBlade: 3334.235 | Jiaoqiu: 607.457 | HuoHuo: 17.970
Run   72: Team DPAV: 25806.850 | Acheron: 20660.043 | MortenaxBlade: 3802.929 | Jiaoqiu: 591.714 | HuoHuo: 21.072
Run   73: Team DPAV: 25612.904 | Acheron: 20741.016 | MortenaxBlade: 3391.812 | Jiaoqiu: 814.765 | HuoHuo: 17.970
Run   74: Team DPAV: 25442.650 | Acheron: 20757.990 | MortenaxBlade: 3381.270 | Jiaoqiu: 631.704 | HuoHuo: 17.970
Run   75: Team DPAV: 24915.536 | Acheron: 20246.087 | MortenaxBlade: 3338.586 | Jiaoqiu: 641.953 | HuoHuo: 17.970
Run   76: Team DPAV: 25609.792 | Acheron: 20959.943 | MortenaxBlade: 3350.750 | Jiaoqiu: 613.197 | HuoHuo: 17.970
Run   77: Team DPAV: 25788.796 | Acheron: 20950.827 | MortenaxBlade: 3439.044 | Jiaoqiu: 730.246 | HuoHuo: 17.970
Run   78: Team DPAV: 25620.561 | Acheron: 20972.726 | MortenaxBlade: 3379.415 | Jiaoqiu: 600.746 | HuoHuo: 17.970
Run   79: Team DPAV: 25372.246 | Acheron: 20708.988 | MortenaxBlade: 3385.972 | Jiaoqiu: 596.662 | HuoHuo: 17.970
