Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 31223.455 | Evanescia: 28509.076 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   48: Team DPAV: 31627.164 | Evanescia: 28884.500 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   49: Team DPAV: 30441.677 | Evanescia: 27727.298 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   50: Team DPAV: 30004.504 | Evanescia: 27248.762 | ElationMC: 2176.280 | Sunday: 0.000 | HuoHuo: 5.713
Run   51: Team DPAV: 31434.795 | Evanescia: 28679.858 | ElationMC: 2201.796 | Sunday: 0.000 | HuoHuo: 5.713
Run   52: Team DPAV: 31494.898 | Evanescia: 28732.771 | ElationMC: 2182.666 | Sunday: 0.000 | HuoHuo: 5.713
Run   53: Team DPAV: 32196.898 | Evanescia: 29454.452 | ElationMC: 2162.986 | Sunday: 0.000 | HuoHuo: 5.713
Run   54: Team DPAV: 31622.417 | Evanescia: 28879.753 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   55: Team DPAV: 32399.568 | Evanescia: 29620.102 | ElationMC: 2200.005 | Sunday: 0.000 | HuoHuo: 5.713
Run   56: Team DPAV: 32041.636 | Evanescia: 29346.418 | ElationMC: 2168.397 | Sunday: 0.000 | HuoHuo: 5.713
Run   57: Team DPAV: 30666.331 | Evanescia: 27951.953 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   58: Team DPAV: 31080.404 | Evanescia: 28337.957 | ElationMC: 2162.986 | Sunday: 0.000 | HuoHuo: 5.713
Run   59: Team DPAV: 32019.527 | Evanescia: 29219.327 | ElationMC: 2220.422 | Sunday: 0.000 | HuoHuo: 6.031
Run   60: Team DPAV: 32783.039 | Evanescia: 29984.412 | ElationMC: 2218.849 | Sunday: 0.000 | HuoHuo: 6.031
Run   61: Team DPAV: 31720.308 | Evanescia: 28979.481 | ElationMC: 2161.367 | Sunday: 0.000 | HuoHuo: 5.713
Run   62: Team DPAV: 30954.317 | Evanescia: 28198.576 | ElationMC: 2176.280 | Sunday: 0.000 | HuoHuo: 5.713
Run   63: Team DPAV: 31433.304 | Evanescia: 28671.177 | ElationMC: 2182.666 | Sunday: 0.000 | HuoHuo: 5.713
Run   64: Team DPAV: 31253.847 | Evanescia: 28545.552 | ElationMC: 2181.474 | Sunday: 0.000 | HuoHuo: 5.713
Run   65: Team DPAV: 31629.388 | Evanescia: 28916.008 | ElationMC: 2186.241 | Sunday: 0.000 | HuoHuo: 6.031
Run   66: Team DPAV: 31406.582 | Evanescia: 28663.918 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   67: Team DPAV: 30398.865 | Evanescia: 27637.040 | ElationMC: 2182.046 | Sunday: 0.000 | HuoHuo: 6.031
Run   68: Team DPAV: 32679.906 | Evanescia: 29932.948 | ElationMC: 2220.137 | Sunday: 0.000 | HuoHuo: 5.713
Run   69: Team DPAV: 30445.136 | Evanescia: 27695.715 | ElationMC: 2222.282 | Sunday: 0.000 | HuoHuo: 6.031
Run   70: Team DPAV: 31778.535 | Evanescia: 29016.408 | ElationMC: 2182.666 | Sunday: 0.000 | HuoHuo: 5.713
Run   71: Team DPAV: 31224.883 | Evanescia: 28451.784 | ElationMC: 2219.640 | Sunday: 0.000 | HuoHuo: 6.031
Run   72: Team DPAV: 30430.667 | Evanescia: 27716.288 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   73: Team DPAV: 29942.472 | Evanescia: 27228.093 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   74: Team DPAV: 31558.750 | Evanescia: 28779.284 | ElationMC: 2200.005 | Sunday: 0.000 | HuoHuo: 5.713
Run   75: Team DPAV: 31233.763 | Evanescia: 28519.385 | ElationMC: 2187.240 | Sunday: 0.000 | HuoHuo: 6.031
Run   76: Team DPAV: 30716.287 | Evanescia: 28008.171 | ElationMC: 2180.977 | Sunday: 0.000 | HuoHuo: 6.031
Run   77: Team DPAV: 30925.368 | Evanescia: 28182.703 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   78: Team DPAV: 31113.681 | Evanescia: 28357.940 | ElationMC: 2176.280 | Sunday: 0.000 | HuoHuo: 5.713
Run   79: Team DPAV: 32264.267 | Evanescia: 29501.464 | ElationMC: 2183.025 | Sunday: 0.000 | HuoHuo: 6.031
Run   80: Team DPAV: 32336.322 | Evanescia: 29593.658 | ElationMC: 2163.203 | Sunday: 0.000 | HuoHuo: 5.713
Run   81: Team DPAV: 30243.673 | Evanescia: 27528.316 | ElationMC: 2188.219 | Sunday: 0.000 | HuoHuo: 6.031
Run   82: Team DPAV: 31915.314 | Evanescia: 29153.706 | ElationMC: 2181.829 | Sunday: 0.000 | HuoHuo: 6.031
Run   83: Team DPAV: 30596.099 | Evanescia: 27882.719 | ElationMC: 2186.241 | Sunday: 0.000 | HuoHuo: 6.031
Run   84: Team DPAV: 29130.202 | Evanescia: 26416.822 | ElationMC: 2186.241 | Sunday: 0.000 | HuoHuo: 6.031
