Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 22787.980 | Acheron: 19557.524 | MortenaxBlade: 2916.193 | Sparkle: 0.000 | HuoHuo: 17.658
Run   46: Team DPAV: 23400.528 | Acheron: 20248.120 | MortenaxBlade: 2853.930 | Sparkle: 0.000 | HuoHuo: 17.658
Run   47: Team DPAV: 21288.673 | Acheron: 18209.384 | MortenaxBlade: 2760.937 | Sparkle: 0.000 | HuoHuo: 17.658
Run   48: Team DPAV: 23719.083 | Acheron: 20524.016 | MortenaxBlade: 2900.679 | Sparkle: 0.000 | HuoHuo: 17.658
Run   49: Team DPAV: 23472.212 | Acheron: 20350.798 | MortenaxBlade: 2822.937 | Sparkle: 0.000 | HuoHuo: 17.658
Run   50: Team DPAV: 23454.010 | Acheron: 20306.665 | MortenaxBlade: 2848.868 | Sparkle: 0.000 | HuoHuo: 17.658
Run   51: Team DPAV: 23408.187 | Acheron: 20262.246 | MortenaxBlade: 2845.438 | Sparkle: 0.000 | HuoHuo: 17.658
Run   52: Team DPAV: 23454.010 | Acheron: 20306.665 | MortenaxBlade: 2848.868 | Sparkle: 0.000 | HuoHuo: 17.658
Run   53: Team DPAV: 23544.895 | Acheron: 20428.942 | MortenaxBlade: 2821.566 | Sparkle: 0.000 | HuoHuo: 17.658
Run   54: Team DPAV: 23390.070 | Acheron: 20247.849 | MortenaxBlade: 2847.833 | Sparkle: 0.000 | HuoHuo: 17.658
Run   55: Team DPAV: 23717.620 | Acheron: 20630.265 | MortenaxBlade: 2792.967 | Sparkle: 0.000 | HuoHuo: 17.658
Run   56: Team DPAV: 23390.070 | Acheron: 20247.849 | MortenaxBlade: 2847.833 | Sparkle: 0.000 | HuoHuo: 17.658
Run   57: Team DPAV: 23342.876 | Acheron: 20097.811 | MortenaxBlade: 2931.796 | Sparkle: 0.000 | HuoHuo: 17.658
Run   58: Team DPAV: 23454.010 | Acheron: 20306.665 | MortenaxBlade: 2848.868 | Sparkle: 0.000 | HuoHuo: 17.658
Run   59: Team DPAV: 23642.364 | Acheron: 20524.016 | MortenaxBlade: 2823.960 | Sparkle: 0.000 | HuoHuo: 17.658
Run   60: Team DPAV: 23642.364 | Acheron: 20524.016 | MortenaxBlade: 2823.960 | Sparkle: 0.000 | HuoHuo: 17.658
Run   61: Team DPAV: 23642.364 | Acheron: 20524.016 | MortenaxBlade: 2823.960 | Sparkle: 0.000 | HuoHuo: 17.658
