Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 20543.441 | MortenaxBlade: 16053.120 | Sparkle: 0.000 | Tribbie: 4415.193 | HuoHuo: 0.000
Run   46: Team DPAV: 16108.997 | MortenaxBlade: 11859.575 | Sparkle: 0.000 | Tribbie: 4163.562 | HuoHuo: 0.000
Run   47: Team DPAV: 19906.377 | MortenaxBlade: 15579.377 | Sparkle: 0.000 | Tribbie: 4241.140 | HuoHuo: 0.000
Run   48: Team DPAV: 15908.918 | MortenaxBlade: 11835.034 | Sparkle: 0.000 | Tribbie: 4020.222 | HuoHuo: 0.000
Run   49: Team DPAV: 16153.346 | MortenaxBlade: 11857.876 | Sparkle: 0.000 | Tribbie: 4209.611 | HuoHuo: 0.000
Run   50: Team DPAV: 15960.441 | MortenaxBlade: 11681.124 | Sparkle: 0.000 | Tribbie: 4193.458 | HuoHuo: 0.000
Run   51: Team DPAV: 20031.020 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4276.557 | HuoHuo: 0.000
Run   52: Team DPAV: 15104.982 | MortenaxBlade: 10900.695 | Sparkle: 0.000 | Tribbie: 4118.427 | HuoHuo: 0.000
Run   53: Team DPAV: 19360.398 | MortenaxBlade: 14844.996 | Sparkle: 0.000 | Tribbie: 4429.543 | HuoHuo: 0.000
Run   54: Team DPAV: 20368.952 | MortenaxBlade: 15968.588 | Sparkle: 0.000 | Tribbie: 4325.238 | HuoHuo: 0.000
Run   55: Team DPAV: 15994.779 | MortenaxBlade: 11916.633 | Sparkle: 0.000 | Tribbie: 4024.484 | HuoHuo: 0.000
Run   56: Team DPAV: 20459.887 | MortenaxBlade: 15779.681 | Sparkle: 0.000 | Tribbie: 4594.346 | HuoHuo: 0.000
Run   57: Team DPAV: 20344.087 | MortenaxBlade: 15968.588 | Sparkle: 0.000 | Tribbie: 4300.372 | HuoHuo: 0.000
Run   58: Team DPAV: 20141.597 | MortenaxBlade: 15756.129 | Sparkle: 0.000 | Tribbie: 4299.608 | HuoHuo: 0.000
Run   59: Team DPAV: 20614.189 | MortenaxBlade: 16421.890 | Sparkle: 0.000 | Tribbie: 4117.172 | HuoHuo: 0.000
Run   60: Team DPAV: 21699.437 | MortenaxBlade: 17441.029 | Sparkle: 0.000 | Tribbie: 4172.549 | HuoHuo: 0.000
Run   61: Team DPAV: 20881.506 | MortenaxBlade: 16407.024 | Sparkle: 0.000 | Tribbie: 4399.355 | HuoHuo: 0.000
Run   62: Team DPAV: 15758.856 | MortenaxBlade: 11872.229 | Sparkle: 0.000 | Tribbie: 3822.233 | HuoHuo: 0.000
Run   63: Team DPAV: 20209.035 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4454.572 | HuoHuo: 0.000
Run   64: Team DPAV: 19962.022 | MortenaxBlade: 15579.377 | Sparkle: 0.000 | Tribbie: 4296.785 | HuoHuo: 0.000
Run   65: Team DPAV: 20030.394 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4275.931 | HuoHuo: 0.000
Run   66: Team DPAV: 15167.945 | MortenaxBlade: 10989.921 | Sparkle: 0.000 | Tribbie: 4113.629 | HuoHuo: 0.000
Run   67: Team DPAV: 21940.101 | MortenaxBlade: 17187.452 | Sparkle: 0.000 | Tribbie: 4677.522 | HuoHuo: 0.000
Run   68: Team DPAV: 16687.771 | MortenaxBlade: 12342.840 | Sparkle: 0.000 | Tribbie: 4269.804 | HuoHuo: 0.000
Run   69: Team DPAV: 20532.711 | MortenaxBlade: 15925.703 | Sparkle: 0.000 | Tribbie: 4521.148 | HuoHuo: 0.000
Run   70: Team DPAV: 15568.833 | MortenaxBlade: 11509.226 | Sparkle: 0.000 | Tribbie: 4005.945 | HuoHuo: 0.000
Run   71: Team DPAV: 20104.740 | MortenaxBlade: 15881.061 | Sparkle: 0.000 | Tribbie: 4148.552 | HuoHuo: 0.000
Run   72: Team DPAV: 20797.232 | MortenaxBlade: 16274.223 | Sparkle: 0.000 | Tribbie: 4437.149 | HuoHuo: 0.000
Run   73: Team DPAV: 20137.683 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4383.220 | HuoHuo: 0.000
Run   74: Team DPAV: 20495.319 | MortenaxBlade: 16001.060 | Sparkle: 0.000 | Tribbie: 4419.133 | HuoHuo: 0.000
Run   75: Team DPAV: 15954.685 | MortenaxBlade: 12072.564 | Sparkle: 0.000 | Tribbie: 3828.458 | HuoHuo: 0.000
Run   76: Team DPAV: 20818.986 | MortenaxBlade: 16191.681 | Sparkle: 0.000 | Tribbie: 4541.445 | HuoHuo: 0.000
Run   77: Team DPAV: 20666.455 | MortenaxBlade: 15989.051 | Sparkle: 0.000 | Tribbie: 4591.545 | HuoHuo: 0.000
Run   78: Team DPAV: 20374.822 | MortenaxBlade: 15968.588 | Sparkle: 0.000 | Tribbie: 4331.107 | HuoHuo: 0.000
Run   79: Team DPAV: 20322.373 | MortenaxBlade: 16001.060 | Sparkle: 0.000 | Tribbie: 4246.186 | HuoHuo: 0.000
Run   80: Team DPAV: 20961.454 | MortenaxBlade: 16707.379 | Sparkle: 0.000 | Tribbie: 4168.215 | HuoHuo: 0.000
Run   81: Team DPAV: 15371.775 | MortenaxBlade: 11166.673 | Sparkle: 0.000 | Tribbie: 4140.707 | HuoHuo: 0.000
Run   82: Team DPAV: 19947.085 | MortenaxBlade: 15411.253 | Sparkle: 0.000 | Tribbie: 4449.973 | HuoHuo: 0.000
Run   83: Team DPAV: 20141.597 | MortenaxBlade: 15756.129 | Sparkle: 0.000 | Tribbie: 4299.608 | HuoHuo: 0.000
Run   84: Team DPAV: 20564.321 | MortenaxBlade: 15941.840 | Sparkle: 0.000 | Tribbie: 4547.354 | HuoHuo: 0.000
Run   85: Team DPAV: 20815.161 | MortenaxBlade: 16313.154 | Sparkle: 0.000 | Tribbie: 4426.881 | HuoHuo: 0.000
Run   86: Team DPAV: 21629.953 | MortenaxBlade: 17054.574 | Sparkle: 0.000 | Tribbie: 4489.519 | HuoHuo: 0.000
Run   87: Team DPAV: 20237.867 | MortenaxBlade: 15845.355 | Sparkle: 0.000 | Tribbie: 4306.652 | HuoHuo: 0.000
Run   88: Team DPAV: 19906.377 | MortenaxBlade: 15579.377 | Sparkle: 0.000 | Tribbie: 4241.140 | HuoHuo: 0.000
Run   89: Team DPAV: 20148.641 | MortenaxBlade: 15756.129 | Sparkle: 0.000 | Tribbie: 4306.652 | HuoHuo: 0.000
Run   90: Team DPAV: 20178.940 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4424.477 | HuoHuo: 0.000
Run   91: Team DPAV: 19949.275 | MortenaxBlade: 15579.377 | Sparkle: 0.000 | Tribbie: 4284.038 | HuoHuo: 0.000
Run   92: Team DPAV: 20389.647 | MortenaxBlade: 15881.061 | Sparkle: 0.000 | Tribbie: 4433.458 | HuoHuo: 0.000
Run   93: Team DPAV: 20906.464 | MortenaxBlade: 16448.976 | Sparkle: 0.000 | Tribbie: 4393.093 | HuoHuo: 0.000
Run   94: Team DPAV: 19832.666 | MortenaxBlade: 15323.726 | Sparkle: 0.000 | Tribbie: 4423.080 | HuoHuo: 0.000
Run   95: Team DPAV: 17187.419 | MortenaxBlade: 12784.811 | Sparkle: 0.000 | Tribbie: 4316.748 | HuoHuo: 0.000
Run   96: Team DPAV: 19605.886 | MortenaxBlade: 15279.098 | Sparkle: 0.000 | Tribbie: 4240.928 | HuoHuo: 0.000
Run   97: Team DPAV: 16064.565 | MortenaxBlade: 11985.038 | Sparkle: 0.000 | Tribbie: 4015.132 | HuoHuo: 0.000
Run   98: Team DPAV: 20701.599 | MortenaxBlade: 16650.204 | Sparkle: 0.000 | Tribbie: 3965.535 | HuoHuo: 0.000
Run   99: Team DPAV: 20058.331 | MortenaxBlade: 15668.603 | Sparkle: 0.000 | Tribbie: 4303.868 | HuoHuo: 0.000
Run  100: Team DPAV: 21020.971 | MortenaxBlade: 16650.204 | Sparkle: 0.000 | Tribbie: 4284.908 | HuoHuo: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 19253.925
Average MortenaxBlade DPAV: 14901.795
Average Sparkle DPAV: 0.000
Average Tribbie DPAV: 4274.222
Average HuoHuo DPAV: 0.000

Min Team DPAV: 15104.982
Max Team DPAV: 21940.101
