Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 27750.789 | Ashveil: 18366.813 | MortenaxBlade: 8201.071 | RuanMei: 1010.223 | HuoHuo: 59.264
Run   45: Team DPAV: 28357.528 | Ashveil: 19467.630 | MortenaxBlade: 7719.069 | RuanMei: 947.038 | HuoHuo: 55.010
Run   46: Team DPAV: 29339.164 | Ashveil: 20137.385 | MortenaxBlade: 8009.963 | RuanMei: 989.420 | HuoHuo: 59.264
Run   47: Team DPAV: 28214.884 | Ashveil: 19450.898 | MortenaxBlade: 7439.772 | RuanMei: 1098.046 | HuoHuo: 59.264
Run   48: Team DPAV: 29190.566 | Ashveil: 19988.786 | MortenaxBlade: 8009.963 | RuanMei: 989.420 | HuoHuo: 59.264
Run   49: Team DPAV: 27132.739 | Ashveil: 18594.003 | MortenaxBlade: 7374.318 | RuanMei: 938.470 | HuoHuo: 57.167
Run   50: Team DPAV: 28876.753 | Ashveil: 19991.249 | MortenaxBlade: 7534.954 | RuanMei: 1119.673 | HuoHuo: 62.096
Run   51: Team DPAV: 29487.929 | Ashveil: 19612.658 | MortenaxBlade: 8687.237 | RuanMei: 995.835 | HuoHuo: 55.010
Run   52: Team DPAV: 28729.717 | Ashveil: 19028.382 | MortenaxBlade: 8594.922 | RuanMei: 884.500 | HuoHuo: 55.010
Run   53: Team DPAV: 27947.583 | Ashveil: 19402.798 | MortenaxBlade: 7371.798 | RuanMei: 947.038 | HuoHuo: 57.167
Run   54: Team DPAV: 29242.017 | Ashveil: 20128.699 | MortenaxBlade: 7805.528 | RuanMei: 1105.394 | HuoHuo: 59.264
Run   55: Team DPAV: 29619.495 | Ashveil: 19589.267 | MortenaxBlade: 8684.086 | RuanMei: 1143.746 | HuoHuo: 59.264
Run   56: Team DPAV: 26535.953 | Ashveil: 17259.729 | MortenaxBlade: 8050.321 | RuanMei: 1003.989 | HuoHuo: 55.010
Run   57: Team DPAV: 25804.488 | Ashveil: 17021.153 | MortenaxBlade: 7554.051 | RuanMei: 1005.214 | HuoHuo: 57.167
Run   58: Team DPAV: 28443.841 | Ashveil: 19553.943 | MortenaxBlade: 7719.069 | RuanMei: 947.038 | HuoHuo: 55.010
