Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 21917.872 | RinTohsaka: 20347.778 | Sparkle: 0.000 | Tribbie: 1537.730 | HuoHuo: 32.364
Run   46: Team DPAV: 24253.869 | RinTohsaka: 22481.063 | Sparkle: 0.000 | Tribbie: 1740.085 | HuoHuo: 32.721
Run   47: Team DPAV: 22591.256 | RinTohsaka: 20895.194 | Sparkle: 0.000 | Tribbie: 1662.787 | HuoHuo: 33.275
Run   48: Team DPAV: 21370.219 | RinTohsaka: 19655.765 | Sparkle: 0.000 | Tribbie: 1682.314 | HuoHuo: 32.140
Run   49: Team DPAV: 24760.100 | RinTohsaka: 23003.750 | Sparkle: 0.000 | Tribbie: 1724.065 | HuoHuo: 32.285
Run   50: Team DPAV: 21007.584 | RinTohsaka: 19375.424 | Sparkle: 0.000 | Tribbie: 1600.690 | HuoHuo: 31.470
Run   51: Team DPAV: 22096.764 | RinTohsaka: 20367.298 | Sparkle: 0.000 | Tribbie: 1697.987 | HuoHuo: 31.479
Run   52: Team DPAV: 24451.211 | RinTohsaka: 22623.007 | Sparkle: 0.000 | Tribbie: 1796.725 | HuoHuo: 31.479
Run   53: Team DPAV: 24803.564 | RinTohsaka: 23002.379 | Sparkle: 0.000 | Tribbie: 1769.714 | HuoHuo: 31.470
Run   54: Team DPAV: 21601.126 | RinTohsaka: 19966.976 | Sparkle: 0.000 | Tribbie: 1602.599 | HuoHuo: 31.550
Run   55: Team DPAV: 21858.073 | RinTohsaka: 20151.621 | Sparkle: 0.000 | Tribbie: 1673.707 | HuoHuo: 32.745
Run   56: Team DPAV: 24606.977 | RinTohsaka: 22850.954 | Sparkle: 0.000 | Tribbie: 1724.163 | HuoHuo: 31.859
Run   57: Team DPAV: 21295.863 | RinTohsaka: 19727.502 | Sparkle: 0.000 | Tribbie: 1535.090 | HuoHuo: 33.270
Run   58: Team DPAV: 24709.005 | RinTohsaka: 23002.261 | Sparkle: 0.000 | Tribbie: 1674.388 | HuoHuo: 32.355
Run   59: Team DPAV: 22912.602 | RinTohsaka: 21215.332 | Sparkle: 0.000 | Tribbie: 1664.590 | HuoHuo: 32.679
Run   60: Team DPAV: 23578.533 | RinTohsaka: 21920.863 | Sparkle: 0.000 | Tribbie: 1626.378 | HuoHuo: 31.293
Run   61: Team DPAV: 22152.005 | RinTohsaka: 20515.084 | Sparkle: 0.000 | Tribbie: 1606.219 | HuoHuo: 30.702
Run   62: Team DPAV: 21365.117 | RinTohsaka: 19647.391 | Sparkle: 0.000 | Tribbie: 1685.919 | HuoHuo: 31.807
Run   63: Team DPAV: 24238.458 | RinTohsaka: 22591.595 | Sparkle: 0.000 | Tribbie: 1615.003 | HuoHuo: 31.859
Run   64: Team DPAV: 23885.579 | RinTohsaka: 22102.671 | Sparkle: 0.000 | Tribbie: 1749.553 | HuoHuo: 33.355
Run   65: Team DPAV: 23257.906 | RinTohsaka: 21511.889 | Sparkle: 0.000 | Tribbie: 1713.515 | HuoHuo: 32.502
Run   66: Team DPAV: 22090.072 | RinTohsaka: 20416.546 | Sparkle: 0.000 | Tribbie: 1640.883 | HuoHuo: 32.642
Run   67: Team DPAV: 23090.615 | RinTohsaka: 21338.217 | Sparkle: 0.000 | Tribbie: 1719.639 | HuoHuo: 32.759
Run   68: Team DPAV: 23641.653 | RinTohsaka: 21873.605 | Sparkle: 0.000 | Tribbie: 1736.499 | HuoHuo: 31.550
Run   69: Team DPAV: 23237.657 | RinTohsaka: 21603.105 | Sparkle: 0.000 | Tribbie: 1603.326 | HuoHuo: 31.226
Run   70: Team DPAV: 22778.450 | RinTohsaka: 20993.559 | Sparkle: 0.000 | Tribbie: 1752.136 | HuoHuo: 32.755
Run   71: Team DPAV: 24678.906 | RinTohsaka: 22854.471 | Sparkle: 0.000 | Tribbie: 1792.955 | HuoHuo: 31.479
Run   72: Team DPAV: 22929.093 | RinTohsaka: 21360.958 | Sparkle: 0.000 | Tribbie: 1536.207 | HuoHuo: 31.928
Run   73: Team DPAV: 24615.548 | RinTohsaka: 22769.445 | Sparkle: 0.000 | Tribbie: 1814.505 | HuoHuo: 31.599
Run   74: Team DPAV: 23268.304 | RinTohsaka: 21607.924 | Sparkle: 0.000 | Tribbie: 1628.520 | HuoHuo: 31.859
Run   75: Team DPAV: 24694.817 | RinTohsaka: 22850.732 | Sparkle: 0.000 | Tribbie: 1812.350 | HuoHuo: 31.736
Run   76: Team DPAV: 24970.466 | RinTohsaka: 23094.472 | Sparkle: 0.000 | Tribbie: 1843.752 | HuoHuo: 32.241
Run   77: Team DPAV: 23806.400 | RinTohsaka: 22159.286 | Sparkle: 0.000 | Tribbie: 1614.922 | HuoHuo: 32.192
Run   78: Team DPAV: 21414.741 | RinTohsaka: 19597.945 | Sparkle: 0.000 | Tribbie: 1785.294 | HuoHuo: 31.503
Run   79: Team DPAV: 23352.876 | RinTohsaka: 21607.924 | Sparkle: 0.000 | Tribbie: 1713.092 | HuoHuo: 31.859
Run   80: Team DPAV: 22910.167 | RinTohsaka: 21265.343 | Sparkle: 0.000 | Tribbie: 1613.531 | HuoHuo: 31.293
Run   81: Team DPAV: 22160.210 | RinTohsaka: 20416.546 | Sparkle: 0.000 | Tribbie: 1711.022 | HuoHuo: 32.642
Run   82: Team DPAV: 23363.069 | RinTohsaka: 21607.924 | Sparkle: 0.000 | Tribbie: 1723.286 | HuoHuo: 31.859
Run   83: Team DPAV: 21397.970 | RinTohsaka: 19772.897 | Sparkle: 0.000 | Tribbie: 1593.603 | HuoHuo: 31.470
Run   84: Team DPAV: 22897.914 | RinTohsaka: 21334.373 | Sparkle: 0.000 | Tribbie: 1530.363 | HuoHuo: 33.177
Run   85: Team DPAV: 24642.156 | RinTohsaka: 22801.987 | Sparkle: 0.000 | Tribbie: 1808.433 | HuoHuo: 31.736
Run   86: Team DPAV: 20737.276 | RinTohsaka: 19040.692 | Sparkle: 0.000 | Tribbie: 1664.985 | HuoHuo: 31.599
Run   87: Team DPAV: 21894.755 | RinTohsaka: 20158.094 | Sparkle: 0.000 | Tribbie: 1705.259 | HuoHuo: 31.403
Run   88: Team DPAV: 22056.115 | RinTohsaka: 20414.126 | Sparkle: 0.000 | Tribbie: 1610.696 | HuoHuo: 31.293
Run   89: Team DPAV: 23905.563 | RinTohsaka: 22343.012 | Sparkle: 0.000 | Tribbie: 1530.692 | HuoHuo: 31.859
Run   90: Team DPAV: 24580.548 | RinTohsaka: 22802.603 | Sparkle: 0.000 | Tribbie: 1746.208 | HuoHuo: 31.736
Run   91: Team DPAV: 23365.274 | RinTohsaka: 21607.924 | Sparkle: 0.000 | Tribbie: 1725.491 | HuoHuo: 31.859
Run   92: Team DPAV: 23210.226 | RinTohsaka: 21342.317 | Sparkle: 0.000 | Tribbie: 1835.267 | HuoHuo: 32.642
Run   93: Team DPAV: 22961.745 | RinTohsaka: 21213.497 | Sparkle: 0.000 | Tribbie: 1714.885 | HuoHuo: 33.363
Run   94: Team DPAV: 24958.483 | RinTohsaka: 23094.472 | Sparkle: 0.000 | Tribbie: 1832.403 | HuoHuo: 31.608
Run   95: Team DPAV: 23327.596 | RinTohsaka: 21650.592 | Sparkle: 0.000 | Tribbie: 1645.454 | HuoHuo: 31.550
Run   96: Team DPAV: 23857.782 | RinTohsaka: 22067.601 | Sparkle: 0.000 | Tribbie: 1757.104 | HuoHuo: 33.078
Run   97: Team DPAV: 22687.199 | RinTohsaka: 20848.210 | Sparkle: 0.000 | Tribbie: 1807.510 | HuoHuo: 31.479
