Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 223196.845 | Archer: 179307.229 | Sparkle: 0.000 | RinTohsaka: 34402.714 | Tribbie: 9253.707
Run   48: Team DPAV: 219996.373 | Archer: 177543.083 | Sparkle: 0.000 | RinTohsaka: 33344.401 | Tribbie: 8875.692
Run   49: Team DPAV: 218822.000 | Archer: 177486.488 | Sparkle: 0.000 | RinTohsaka: 31990.758 | Tribbie: 9111.559
Run   50: Team DPAV: 220243.152 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9061.794
Run   51: Team DPAV: 220815.403 | Archer: 177274.663 | Sparkle: 0.000 | RinTohsaka: 34175.707 | Tribbie: 9131.838
Run   52: Team DPAV: 215030.256 | Archer: 174061.847 | Sparkle: 0.000 | RinTohsaka: 31675.268 | Tribbie: 9059.944
Run   53: Team DPAV: 223924.663 | Archer: 179924.480 | Sparkle: 0.000 | RinTohsaka: 34482.828 | Tribbie: 9284.160
Run   54: Team DPAV: 213527.966 | Archer: 172303.781 | Sparkle: 0.000 | RinTohsaka: 32300.100 | Tribbie: 8690.889
Run   55: Team DPAV: 224926.610 | Archer: 180434.309 | Sparkle: 0.000 | RinTohsaka: 34980.626 | Tribbie: 9278.480
Run   56: Team DPAV: 213750.404 | Archer: 172303.781 | Sparkle: 0.000 | RinTohsaka: 32276.894 | Tribbie: 8936.533
Run   57: Team DPAV: 219547.595 | Archer: 177644.073 | Sparkle: 0.000 | RinTohsaka: 32802.024 | Tribbie: 8868.302
Run   58: Team DPAV: 221720.261 | Archer: 180335.501 | Sparkle: 0.000 | RinTohsaka: 31893.051 | Tribbie: 9258.513
Run   59: Team DPAV: 213668.837 | Archer: 170235.011 | Sparkle: 0.000 | RinTohsaka: 34245.393 | Tribbie: 8955.237
Run   60: Team DPAV: 217909.833 | Archer: 175504.501 | Sparkle: 0.000 | RinTohsaka: 33197.704 | Tribbie: 8974.433
Run   61: Team DPAV: 223879.705 | Archer: 180273.361 | Sparkle: 0.000 | RinTohsaka: 34326.085 | Tribbie: 9047.064
Run   62: Team DPAV: 220246.135 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9064.777
Run   63: Team DPAV: 219798.781 | Archer: 177644.073 | Sparkle: 0.000 | RinTohsaka: 32802.024 | Tribbie: 9119.488
Run   64: Team DPAV: 216953.106 | Archer: 176010.931 | Sparkle: 0.000 | RinTohsaka: 31577.561 | Tribbie: 9131.419
Run   65: Team DPAV: 222079.843 | Archer: 178125.286 | Sparkle: 0.000 | RinTohsaka: 34770.502 | Tribbie: 8950.860
Run   66: Team DPAV: 220085.619 | Archer: 177425.311 | Sparkle: 0.000 | RinTohsaka: 33372.208 | Tribbie: 9054.905
Run   67: Team DPAV: 222917.185 | Archer: 178707.079 | Sparkle: 0.000 | RinTohsaka: 34788.566 | Tribbie: 9188.345
Run   68: Team DPAV: 222432.511 | Archer: 178290.966 | Sparkle: 0.000 | RinTohsaka: 34739.307 | Tribbie: 9169.042
Run   69: Team DPAV: 220119.809 | Archer: 177437.681 | Sparkle: 0.000 | RinTohsaka: 33395.414 | Tribbie: 9053.519
Run   70: Team DPAV: 224247.475 | Archer: 180643.627 | Sparkle: 0.000 | RinTohsaka: 34394.088 | Tribbie: 8976.564
Run   71: Team DPAV: 209976.326 | Archer: 168585.134 | Sparkle: 0.000 | RinTohsaka: 32276.894 | Tribbie: 8881.102
Run   72: Team DPAV: 213550.188 | Archer: 172074.816 | Sparkle: 0.000 | RinTohsaka: 32300.100 | Tribbie: 8942.076
Run   73: Team DPAV: 224619.207 | Archer: 180226.374 | Sparkle: 0.000 | RinTohsaka: 34906.394 | Tribbie: 9253.244
Run   74: Team DPAV: 217754.758 | Archer: 175387.642 | Sparkle: 0.000 | RinTohsaka: 33176.289 | Tribbie: 8957.632
Run   75: Team DPAV: 217909.833 | Archer: 175504.501 | Sparkle: 0.000 | RinTohsaka: 33197.704 | Tribbie: 8974.433
Run   76: Team DPAV: 225232.664 | Archer: 180972.164 | Sparkle: 0.000 | RinTohsaka: 34974.876 | Tribbie: 9052.428
Run   77: Team DPAV: 227251.961 | Archer: 184116.019 | Sparkle: 0.000 | RinTohsaka: 33469.333 | Tribbie: 9433.414
Run   78: Team DPAV: 225453.911 | Archer: 180850.422 | Sparkle: 0.000 | RinTohsaka: 35053.091 | Tribbie: 9317.202
Run   79: Team DPAV: 219788.232 | Archer: 177152.287 | Sparkle: 0.000 | RinTohsaka: 33271.493 | Tribbie: 9131.255
Run   80: Team DPAV: 219994.948 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 8813.590
Run   81: Team DPAV: 218822.000 | Archer: 177486.488 | Sparkle: 0.000 | RinTohsaka: 31990.758 | Tribbie: 9111.559
Run   82: Team DPAV: 219494.598 | Archer: 177410.356 | Sparkle: 0.000 | RinTohsaka: 32759.195 | Tribbie: 9091.852
Run   83: Team DPAV: 224254.525 | Archer: 180643.627 | Sparkle: 0.000 | RinTohsaka: 34394.088 | Tribbie: 8983.614
Run   84: Team DPAV: 215069.915 | Archer: 174104.599 | Sparkle: 0.000 | RinTohsaka: 31675.268 | Tribbie: 9056.853
Run   85: Team DPAV: 218666.926 | Archer: 177369.629 | Sparkle: 0.000 | RinTohsaka: 31969.344 | Tribbie: 9094.758
Run   86: Team DPAV: 220091.060 | Archer: 177437.681 | Sparkle: 0.000 | RinTohsaka: 33372.208 | Tribbie: 9047.976
Run   87: Team DPAV: 224929.593 | Archer: 180434.309 | Sparkle: 0.000 | RinTohsaka: 34980.626 | Tribbie: 9281.463
Run   88: Team DPAV: 222140.250 | Archer: 178267.450 | Sparkle: 0.000 | RinTohsaka: 34704.601 | Tribbie: 8935.003
Run   89: Team DPAV: 224060.790 | Archer: 180552.996 | Sparkle: 0.000 | RinTohsaka: 34210.167 | Tribbie: 9064.432
Run   90: Team DPAV: 220246.135 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9064.777
Run   91: Team DPAV: 220243.152 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9061.794
Run   92: Team DPAV: 211035.216 | Archer: 169528.394 | Sparkle: 0.000 | RinTohsaka: 32406.423 | Tribbie: 8867.204
Run   93: Team DPAV: 224394.287 | Archer: 180773.783 | Sparkle: 0.000 | RinTohsaka: 34394.088 | Tribbie: 8993.220
Run   94: Team DPAV: 216041.666 | Archer: 172721.969 | Sparkle: 0.000 | RinTohsaka: 34093.356 | Tribbie: 8993.146
Run   95: Team DPAV: 215480.852 | Archer: 173769.538 | Sparkle: 0.000 | RinTohsaka: 32423.592 | Tribbie: 9054.527
Run   96: Team DPAV: 217658.646 | Archer: 175504.501 | Sparkle: 0.000 | RinTohsaka: 33197.704 | Tribbie: 8723.246
Run   97: Team DPAV: 220802.527 | Archer: 177720.367 | Sparkle: 0.000 | RinTohsaka: 33950.515 | Tribbie: 8898.450
Run   98: Team DPAV: 220243.152 | Archer: 177554.540 | Sparkle: 0.000 | RinTohsaka: 33393.623 | Tribbie: 9061.794
Run   99: Team DPAV: 215815.096 | Archer: 172408.122 | Sparkle: 0.000 | RinTohsaka: 34120.521 | Tribbie: 9053.258
Run  100: Team DPAV: 217658.646 | Archer: 175504.501 | Sparkle: 0.000 | RinTohsaka: 33197.704 | Tribbie: 8723.246

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 219817.537
Average Archer DPAV: 177166.751
Average Sparkle DPAV: 0.000
Average RinTohsaka DPAV: 33382.768
Average Tribbie DPAV: 9034.822

Min Team DPAV: 209961.775
Max Team DPAV: 227252.272
