Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 13389.112 | Feixiao: 6440.046 | MortenaxBlade: 6073.285 | RuanMei: 693.638 | HuoHuo: 80.959
Run   46: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   47: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   48: Team DPAV: 13484.795 | Feixiao: 6730.001 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 83.406
Run   49: Team DPAV: 13604.668 | Feixiao: 6514.596 | MortenaxBlade: 6219.351 | RuanMei: 693.638 | HuoHuo: 80.959
Run   50: Team DPAV: 12415.953 | Feixiao: 6440.046 | MortenaxBlade: 5105.185 | RuanMei: 693.638 | HuoHuo: 80.959
Run   51: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   52: Team DPAV: 14119.234 | Feixiao: 6443.604 | MortenaxBlade: 6799.849 | RuanMei: 693.638 | HuoHuo: 80.959
Run   53: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run   54: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   55: Team DPAV: 12780.363 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 81.120
Run   56: Team DPAV: 12777.703 | Feixiao: 6331.040 | MortenaxBlade: 5596.254 | RuanMei: 675.825 | HuoHuo: 78.460
Run   57: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   58: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   59: Team DPAV: 13922.609 | Feixiao: 6654.445 | MortenaxBlade: 6392.384 | RuanMei: 693.638 | HuoHuo: 80.959
Run   60: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   61: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
Run   62: Team DPAV: 13443.027 | Feixiao: 6629.929 | MortenaxBlade: 5927.784 | RuanMei: 690.493 | HuoHuo: 78.460
Run   63: Team DPAV: 14444.854 | Feixiao: 6670.767 | MortenaxBlade: 6898.306 | RuanMei: 693.638 | HuoHuo: 80.959
Run   64: Team DPAV: 13753.119 | Feixiao: 6654.445 | MortenaxBlade: 6222.894 | RuanMei: 693.638 | HuoHuo: 80.959
Run   65: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   66: Team DPAV: 13310.125 | Feixiao: 6560.278 | MortenaxBlade: 5875.761 | RuanMei: 694.443 | HuoHuo: 78.460
Run   67: Team DPAV: 12886.816 | Feixiao: 6500.763 | MortenaxBlade: 5596.254 | RuanMei: 587.631 | HuoHuo: 80.746
Run   68: Team DPAV: 14129.075 | Feixiao: 6458.935 | MortenaxBlade: 6818.036 | RuanMei: 675.020 | HuoHuo: 80.959
Run   69: Team DPAV: 13774.158 | Feixiao: 6514.596 | MortenaxBlade: 6388.841 | RuanMei: 693.638 | HuoHuo: 80.959
Run   70: Team DPAV: 13615.898 | Feixiao: 6514.596 | MortenaxBlade: 6230.580 | RuanMei: 693.638 | HuoHuo: 80.959
Run   71: Team DPAV: 13413.872 | Feixiao: 6443.931 | MortenaxBlade: 6117.837 | RuanMei: 675.020 | HuoHuo: 80.959
Run   72: Team DPAV: 13254.703 | Feixiao: 6560.278 | MortenaxBlade: 5825.398 | RuanMei: 694.443 | HuoHuo: 78.460
