Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 40374.223 | Evanescia: 37395.680 | Sparkle: 0.000 | HuoHuo: 23.666 | ElationMC: 2052.381
Run   48: Team DPAV: 38018.460 | Evanescia: 35005.139 | Sparkle: 0.000 | HuoHuo: 24.314 | ElationMC: 2096.020
Run   49: Team DPAV: 40847.423 | Evanescia: 37815.248 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2113.147
Run   50: Team DPAV: 40774.724 | Evanescia: 37734.004 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2118.123
Run   51: Team DPAV: 39606.682 | Evanescia: 36569.778 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2110.912
Run   52: Team DPAV: 39270.206 | Evanescia: 36272.546 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2079.281
Run   53: Team DPAV: 41609.816 | Evanescia: 38603.264 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2080.800
Run   54: Team DPAV: 40594.163 | Evanescia: 37645.418 | Sparkle: 0.000 | HuoHuo: 24.835 | ElationMC: 2088.853
Run   55: Team DPAV: 39268.491 | Evanescia: 36270.190 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2071.900
Run   56: Team DPAV: 39284.251 | Evanescia: 36288.190 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   57: Team DPAV: 39363.480 | Evanescia: 36398.661 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2108.399
Run   58: Team DPAV: 40108.067 | Evanescia: 37127.838 | Sparkle: 0.000 | HuoHuo: 23.926 | ElationMC: 2057.610
Run   59: Team DPAV: 39010.361 | Evanescia: 35959.247 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2136.129
Run   60: Team DPAV: 41859.115 | Evanescia: 38855.695 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2077.429
Run   61: Team DPAV: 38013.414 | Evanescia: 35002.911 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2095.928
Run   62: Team DPAV: 39251.270 | Evanescia: 36255.209 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   63: Team DPAV: 41671.193 | Evanescia: 38629.178 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2116.024
Run   64: Team DPAV: 42366.585 | Evanescia: 39329.505 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2114.896
Run   65: Team DPAV: 41520.007 | Evanescia: 38525.812 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2072.246
Run   66: Team DPAV: 38092.504 | Evanescia: 35113.784 | Sparkle: 0.000 | HuoHuo: 23.926 | ElationMC: 2056.102
Run   67: Team DPAV: 39713.191 | Evanescia: 36698.551 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2092.043
Run   68: Team DPAV: 38219.124 | Evanescia: 35203.255 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2097.080
Run   69: Team DPAV: 40801.915 | Evanescia: 37803.326 | Sparkle: 0.000 | HuoHuo: 23.985 | ElationMC: 2083.519
Run   70: Team DPAV: 38751.326 | Evanescia: 35729.013 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2107.089
Run   71: Team DPAV: 38471.936 | Evanescia: 35454.524 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2098.624
Run   72: Team DPAV: 40495.388 | Evanescia: 37545.017 | Sparkle: 0.000 | HuoHuo: 24.835 | ElationMC: 2090.479
Run   73: Team DPAV: 39296.094 | Evanescia: 36299.443 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2074.468
Run   74: Team DPAV: 40007.974 | Evanescia: 37011.913 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   75: Team DPAV: 38843.506 | Evanescia: 35850.658 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2074.468
Run   76: Team DPAV: 39424.662 | Evanescia: 36428.601 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   77: Team DPAV: 39600.964 | Evanescia: 36599.992 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2074.980
Run   78: Team DPAV: 39155.136 | Evanescia: 36208.724 | Sparkle: 0.000 | HuoHuo: 24.835 | ElationMC: 2089.056
Run   79: Team DPAV: 39709.687 | Evanescia: 36719.781 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2067.957
Run   80: Team DPAV: 38936.989 | Evanescia: 35942.363 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2072.442
Run   81: Team DPAV: 37131.781 | Evanescia: 34117.882 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2095.110
Run   82: Team DPAV: 38421.403 | Evanescia: 35456.583 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2108.399
Run   83: Team DPAV: 36736.529 | Evanescia: 33722.630 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2095.110
Run   84: Team DPAV: 39446.818 | Evanescia: 36450.166 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2074.468
Run   85: Team DPAV: 37817.057 | Evanescia: 34820.996 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   86: Team DPAV: 38960.763 | Evanescia: 35917.511 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2124.224
Run   87: Team DPAV: 39895.768 | Evanescia: 36939.731 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2097.080
Run   88: Team DPAV: 39291.215 | Evanescia: 36299.443 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2069.589
Run   89: Team DPAV: 38920.752 | Evanescia: 35980.805 | Sparkle: 0.000 | HuoHuo: 24.596 | ElationMC: 2080.294
Run   90: Team DPAV: 39997.675 | Evanescia: 37003.480 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2072.246
Run   91: Team DPAV: 39457.775 | Evanescia: 36453.884 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2084.244
Run   92: Team DPAV: 37361.816 | Evanescia: 34368.105 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2082.291
Run   93: Team DPAV: 40366.892 | Evanescia: 37411.338 | Sparkle: 0.000 | HuoHuo: 23.900 | ElationMC: 2096.598
Run   94: Team DPAV: 38861.589 | Evanescia: 35868.148 | Sparkle: 0.000 | HuoHuo: 23.905 | ElationMC: 2072.745
Run   95: Team DPAV: 40407.979 | Evanescia: 37342.404 | Sparkle: 0.000 | HuoHuo: 23.495 | ElationMC: 2139.583
Run   96: Team DPAV: 37804.381 | Evanescia: 34807.729 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2074.468
Run   97: Team DPAV: 39641.812 | Evanescia: 36645.751 | Sparkle: 0.000 | HuoHuo: 23.491 | ElationMC: 2073.878
Run   98: Team DPAV: 41819.362 | Evanescia: 38779.754 | Sparkle: 0.000 | HuoHuo: 23.256 | ElationMC: 2113.856
Run   99: Team DPAV: 37552.382 | Evanescia: 34522.673 | Sparkle: 0.000 | HuoHuo: 24.139 | ElationMC: 2110.681
Run  100: Team DPAV: 39543.061 | Evanescia: 36502.074 | Sparkle: 0.000 | HuoHuo: 23.666 | ElationMC: 2124.968

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 39468.811
Average Evanescia DPAV: 36459.128
Average Sparkle DPAV: 0.000
Average HuoHuo DPAV: 23.802
Average ElationMC DPAV: 2095.347

Min Team DPAV: 36736.529
Max Team DPAV: 42366.585
