Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 36531.135 | Ashveil: 30714.204 | MortenaxBlade: 5658.146 | Sunday: 0.000 | HuoHuo: 22.546
Run   46: Team DPAV: 35451.598 | Ashveil: 29685.516 | MortenaxBlade: 5587.138 | Sunday: 0.000 | HuoHuo: 22.546
Run   47: Team DPAV: 36090.492 | Ashveil: 30306.306 | MortenaxBlade: 5605.240 | Sunday: 0.000 | HuoHuo: 22.546
Run   48: Team DPAV: 34334.997 | Ashveil: 28789.410 | MortenaxBlade: 5406.962 | Sunday: 0.000 | HuoHuo: 22.546
Run   49: Team DPAV: 33722.823 | Ashveil: 28762.113 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   50: Team DPAV: 35358.312 | Ashveil: 29580.202 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   51: Team DPAV: 35811.013 | Ashveil: 30042.054 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   52: Team DPAV: 35559.415 | Ashveil: 29787.257 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   53: Team DPAV: 35966.743 | Ashveil: 30188.510 | MortenaxBlade: 5599.288 | Sunday: 0.000 | HuoHuo: 22.546
Run   54: Team DPAV: 35525.349 | Ashveil: 29726.452 | MortenaxBlade: 5640.112 | Sunday: 0.000 | HuoHuo: 22.546
Run   55: Team DPAV: 35739.309 | Ashveil: 29970.350 | MortenaxBlade: 5610.174 | Sunday: 0.000 | HuoHuo: 22.546
Run   56: Team DPAV: 35462.882 | Ashveil: 29684.772 | MortenaxBlade: 5599.165 | Sunday: 0.000 | HuoHuo: 22.546
Run   57: Team DPAV: 33636.835 | Ashveil: 28676.125 | MortenaxBlade: 4801.925 | Sunday: 0.000 | HuoHuo: 22.546
Run   58: Team DPAV: 33836.465 | Ashveil: 28456.662 | MortenaxBlade: 5221.019 | Sunday: 0.000 | HuoHuo: 22.546
Run   59: Team DPAV: 35108.617 | Ashveil: 29587.016 | MortenaxBlade: 5382.976 | Sunday: 0.000 | HuoHuo: 22.546
Run   60: Team DPAV: 35457.674 | Ashveil: 29685.516 | MortenaxBlade: 5593.213 | Sunday: 0.000 | HuoHuo: 22.546
Run   61: Team DPAV: 35139.208 | Ashveil: 29599.697 | MortenaxBlade: 5400.887 | Sunday: 0.000 | HuoHuo: 22.546
Run   62: Team DPAV: 36238.160 | Ashveil: 30445.215 | MortenaxBlade: 5634.160 | Sunday: 0.000 | HuoHuo: 22.546
Run   63: Team DPAV: 34605.488 | Ashveil: 28831.717 | MortenaxBlade: 5614.985 | Sunday: 0.000 | HuoHuo: 22.546
