Simulation Results - 100 runs
================================================================================

Run   46: Team DPAV: 139054.188 | Sparxie: 128127.529 | YaoGuang: 10832.763 | Sparkle: 0.000 | HuoHuo: 11.073
Run   47: Team DPAV: 150525.623 | Sparxie: 139065.065 | YaoGuang: 11366.662 | Sparkle: 0.000 | HuoHuo: 11.073
Run   48: Team DPAV: 152461.389 | Sparxie: 140856.129 | YaoGuang: 11511.363 | Sparkle: 0.000 | HuoHuo: 11.073
Run   49: Team DPAV: 157210.992 | Sparxie: 145347.783 | YaoGuang: 11769.313 | Sparkle: 0.000 | HuoHuo: 11.073
Run   50: Team DPAV: 147709.690 | Sparxie: 136344.301 | YaoGuang: 11271.492 | Sparkle: 0.000 | HuoHuo: 11.073
Run   51: Team DPAV: 152972.953 | Sparxie: 141527.403 | YaoGuang: 11351.653 | Sparkle: 0.000 | HuoHuo: 11.073
Run   52: Team DPAV: 154132.945 | Sparxie: 142257.283 | YaoGuang: 11781.766 | Sparkle: 0.000 | HuoHuo: 11.073
Run   53: Team DPAV: 143044.688 | Sparxie: 131973.679 | YaoGuang: 10977.112 | Sparkle: 0.000 | HuoHuo: 11.073
Run   54: Team DPAV: 155308.614 | Sparxie: 143555.201 | YaoGuang: 11659.516 | Sparkle: 0.000 | HuoHuo: 11.073
Run   55: Team DPAV: 147093.077 | Sparxie: 135642.440 | YaoGuang: 11356.741 | Sparkle: 0.000 | HuoHuo: 11.073
Run   56: Team DPAV: 143494.710 | Sparxie: 132406.408 | YaoGuang: 10994.405 | Sparkle: 0.000 | HuoHuo: 11.073
Run   57: Team DPAV: 143548.920 | Sparxie: 132262.376 | YaoGuang: 11192.647 | Sparkle: 0.000 | HuoHuo: 11.073
Run   58: Team DPAV: 159257.113 | Sparxie: 147351.087 | YaoGuang: 11812.129 | Sparkle: 0.000 | HuoHuo: 11.073
Run   59: Team DPAV: 145279.839 | Sparxie: 134194.976 | YaoGuang: 10990.967 | Sparkle: 0.000 | HuoHuo: 11.073
Run   60: Team DPAV: 138064.494 | Sparxie: 127694.122 | YaoGuang: 10276.475 | Sparkle: 0.000 | HuoHuo: 11.073
Run   61: Team DPAV: 145651.976 | Sparxie: 134294.503 | YaoGuang: 11263.576 | Sparkle: 0.000 | HuoHuo: 11.073
Run   62: Team DPAV: 153558.737 | Sparxie: 141855.427 | YaoGuang: 11609.413 | Sparkle: 0.000 | HuoHuo: 11.073
Run   63: Team DPAV: 147873.361 | Sparxie: 136974.968 | YaoGuang: 10804.497 | Sparkle: 0.000 | HuoHuo: 11.073
Run   64: Team DPAV: 143996.251 | Sparxie: 132795.480 | YaoGuang: 11106.874 | Sparkle: 0.000 | HuoHuo: 11.073
Run   65: Team DPAV: 154894.508 | Sparxie: 143114.942 | YaoGuang: 11685.669 | Sparkle: 0.000 | HuoHuo: 11.073
Run   66: Team DPAV: 152859.268 | Sparxie: 141306.503 | YaoGuang: 11458.868 | Sparkle: 0.000 | HuoHuo: 11.073
Run   67: Team DPAV: 152302.821 | Sparxie: 140952.649 | YaoGuang: 11256.275 | Sparkle: 0.000 | HuoHuo: 11.073
Run   68: Team DPAV: 146043.534 | Sparxie: 134662.020 | YaoGuang: 11287.617 | Sparkle: 0.000 | HuoHuo: 11.073
Run   69: Team DPAV: 138062.251 | Sparxie: 127030.690 | YaoGuang: 10937.664 | Sparkle: 0.000 | HuoHuo: 11.073
Run   70: Team DPAV: 132565.485 | Sparxie: 121824.102 | YaoGuang: 10648.307 | Sparkle: 0.000 | HuoHuo: 10.253
Run   71: Team DPAV: 147545.354 | Sparxie: 136108.910 | YaoGuang: 11342.548 | Sparkle: 0.000 | HuoHuo: 11.073
Run   72: Team DPAV: 139603.119 | Sparxie: 128680.212 | YaoGuang: 10829.010 | Sparkle: 0.000 | HuoHuo: 11.073
Run   73: Team DPAV: 139820.415 | Sparxie: 128783.501 | YaoGuang: 10943.017 | Sparkle: 0.000 | HuoHuo: 11.073
Run   74: Team DPAV: 147928.876 | Sparxie: 136365.197 | YaoGuang: 11469.782 | Sparkle: 0.000 | HuoHuo: 11.073
Run   75: Team DPAV: 149147.255 | Sparxie: 137722.564 | YaoGuang: 11330.794 | Sparkle: 0.000 | HuoHuo: 11.073
Run   76: Team DPAV: 141058.134 | Sparxie: 130444.532 | YaoGuang: 10519.704 | Sparkle: 0.000 | HuoHuo: 11.073
Run   77: Team DPAV: 151260.052 | Sparxie: 139762.759 | YaoGuang: 11403.397 | Sparkle: 0.000 | HuoHuo: 11.073
Run   78: Team DPAV: 145558.255 | Sparxie: 134348.496 | YaoGuang: 11115.863 | Sparkle: 0.000 | HuoHuo: 11.073
Run   79: Team DPAV: 140357.903 | Sparxie: 129323.917 | YaoGuang: 10940.089 | Sparkle: 0.000 | HuoHuo: 11.073
Run   80: Team DPAV: 155990.632 | Sparxie: 144324.279 | YaoGuang: 11572.457 | Sparkle: 0.000 | HuoHuo: 11.073
Run   81: Team DPAV: 150785.640 | Sparxie: 139488.908 | YaoGuang: 11202.836 | Sparkle: 0.000 | HuoHuo: 11.073
Run   82: Team DPAV: 147238.006 | Sparxie: 135993.226 | YaoGuang: 11150.883 | Sparkle: 0.000 | HuoHuo: 11.073
Run   83: Team DPAV: 148178.866 | Sparxie: 136594.256 | YaoGuang: 11490.713 | Sparkle: 0.000 | HuoHuo: 11.073
Run   84: Team DPAV: 144503.621 | Sparxie: 133053.758 | YaoGuang: 11355.966 | Sparkle: 0.000 | HuoHuo: 11.073
Run   85: Team DPAV: 147352.542 | Sparxie: 135907.134 | YaoGuang: 11351.511 | Sparkle: 0.000 | HuoHuo: 11.073
Run   86: Team DPAV: 153714.367 | Sparxie: 142023.313 | YaoGuang: 11597.158 | Sparkle: 0.000 | HuoHuo: 11.073
Run   87: Team DPAV: 143072.996 | Sparxie: 131606.564 | YaoGuang: 11372.536 | Sparkle: 0.000 | HuoHuo: 11.073
Run   88: Team DPAV: 145858.990 | Sparxie: 134557.823 | YaoGuang: 11207.270 | Sparkle: 0.000 | HuoHuo: 11.073
Run   89: Team DPAV: 150126.069 | Sparxie: 138625.921 | YaoGuang: 11406.252 | Sparkle: 0.000 | HuoHuo: 11.073
Run   90: Team DPAV: 149661.028 | Sparxie: 138281.206 | YaoGuang: 11285.925 | Sparkle: 0.000 | HuoHuo: 11.073
Run   91: Team DPAV: 138882.456 | Sparxie: 128093.032 | YaoGuang: 10695.527 | Sparkle: 0.000 | HuoHuo: 11.073
Run   92: Team DPAV: 150874.141 | Sparxie: 139333.980 | YaoGuang: 11446.264 | Sparkle: 0.000 | HuoHuo: 11.073
Run   93: Team DPAV: 147723.560 | Sparxie: 136198.752 | YaoGuang: 11430.911 | Sparkle: 0.000 | HuoHuo: 11.073
Run   94: Team DPAV: 137809.323 | Sparxie: 127190.759 | YaoGuang: 10524.667 | Sparkle: 0.000 | HuoHuo: 11.073
Run   95: Team DPAV: 149007.669 | Sparxie: 137687.164 | YaoGuang: 11226.609 | Sparkle: 0.000 | HuoHuo: 11.073
Run   96: Team DPAV: 136924.719 | Sparxie: 126008.571 | YaoGuang: 10822.251 | Sparkle: 0.000 | HuoHuo: 11.073
Run   97: Team DPAV: 136590.323 | Sparxie: 126255.481 | YaoGuang: 10240.946 | Sparkle: 0.000 | HuoHuo: 11.073
Run   98: Team DPAV: 147494.505 | Sparxie: 135827.394 | YaoGuang: 11573.214 | Sparkle: 0.000 | HuoHuo: 11.073
Run   99: Team DPAV: 144651.124 | Sparxie: 133435.804 | YaoGuang: 11121.423 | Sparkle: 0.000 | HuoHuo: 11.073
