Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 42610.294 | Sparxie: -3221.260 | Sparkle: 0.000 | YaoGuang: -596.928 | HuoHuo: 0.000
Run   48: Team DPAV: 45234.060 | Sparxie: 2293.027 | Sparkle: 0.000 | YaoGuang: 330.739 | HuoHuo: 0.000
Run   49: Team DPAV: 44965.870 | Sparxie: -409.282 | Sparkle: 0.000 | YaoGuang: 141.156 | HuoHuo: -0.064
Run   50: Team DPAV: 46250.693 | Sparxie: 1320.326 | Sparkle: 0.000 | YaoGuang: -35.503 | HuoHuo: 0.000
Run   51: Team DPAV: 45722.608 | Sparxie: -522.712 | Sparkle: 0.000 | YaoGuang: -5.379 | HuoHuo: 0.006
Run   52: Team DPAV: 44936.433 | Sparxie: -821.411 | Sparkle: 0.000 | YaoGuang: 35.178 | HuoHuo: 0.058
Run   53: Team DPAV: 45757.118 | Sparxie: 594.363 | Sparkle: 0.000 | YaoGuang: 226.322 | HuoHuo: 0.000
Run   54: Team DPAV: 44780.273 | Sparxie: -685.613 | Sparkle: 0.000 | YaoGuang: -291.232 | HuoHuo: 0.000
Run   55: Team DPAV: 41097.164 | Sparxie: -3207.610 | Sparkle: 0.000 | YaoGuang: -475.500 | HuoHuo: 0.000
Run   56: Team DPAV: 44201.318 | Sparxie: 2687.418 | Sparkle: 0.000 | YaoGuang: 416.737 | HuoHuo: 0.000
Run   57: Team DPAV: 47351.199 | Sparxie: 2906.325 | Sparkle: 0.000 | YaoGuang: 243.684 | HuoHuo: -0.128
Run   58: Team DPAV: 47663.945 | Sparxie: 203.005 | Sparkle: 0.000 | YaoGuang: 109.613 | HuoHuo: 0.128
Run   59: Team DPAV: 45797.100 | Sparxie: -1747.848 | Sparkle: 0.000 | YaoGuang: -118.996 | HuoHuo: 0.000
Run   60: Team DPAV: 47307.854 | Sparxie: 1194.430 | Sparkle: 0.000 | YaoGuang: 316.324 | HuoHuo: 0.000
