Simulation Results - 100 runs
================================================================================

Run   46: Team DPAV: 15015.484 | RinTohsaka: 13873.532 | Sunday: 0.000 | Tribbie: 1116.402 | HuoHuo: 25.550
Run   47: Team DPAV: 15389.534 | RinTohsaka: 14246.276 | Sunday: 0.000 | Tribbie: 1118.186 | HuoHuo: 25.072
Run   48: Team DPAV: 15883.050 | RinTohsaka: 14789.149 | Sunday: 0.000 | Tribbie: 1068.769 | HuoHuo: 25.131
Run   49: Team DPAV: 14981.860 | RinTohsaka: 13919.494 | Sunday: 0.000 | Tribbie: 1036.815 | HuoHuo: 25.550
Run   50: Team DPAV: 15507.736 | RinTohsaka: 14347.901 | Sunday: 0.000 | Tribbie: 1129.504 | HuoHuo: 30.331
Run   51: Team DPAV: 15522.038 | RinTohsaka: 14489.340 | Sunday: 0.000 | Tribbie: 1007.567 | HuoHuo: 25.131
Run   52: Team DPAV: 15041.579 | RinTohsaka: 13877.690 | Sunday: 0.000 | Tribbie: 1138.758 | HuoHuo: 25.131
Run   53: Team DPAV: 17319.748 | RinTohsaka: 16111.056 | Sunday: 0.000 | Tribbie: 1178.302 | HuoHuo: 30.391
Run   54: Team DPAV: 15294.351 | RinTohsaka: 14173.024 | Sunday: 0.000 | Tribbie: 1096.196 | HuoHuo: 25.131
Run   55: Team DPAV: 15297.172 | RinTohsaka: 14196.424 | Sunday: 0.000 | Tribbie: 1075.676 | HuoHuo: 25.072
Run   56: Team DPAV: 15069.560 | RinTohsaka: 14017.372 | Sunday: 0.000 | Tribbie: 1027.116 | HuoHuo: 25.072
Run   57: Team DPAV: 15047.751 | RinTohsaka: 13883.220 | Sunday: 0.000 | Tribbie: 1138.981 | HuoHuo: 25.550
Run   58: Team DPAV: 15199.549 | RinTohsaka: 14022.506 | Sunday: 0.000 | Tribbie: 1151.970 | HuoHuo: 25.072
Run   59: Team DPAV: 15372.268 | RinTohsaka: 14278.887 | Sunday: 0.000 | Tribbie: 1068.249 | HuoHuo: 25.131
Run   60: Team DPAV: 15442.328 | RinTohsaka: 14266.283 | Sunday: 0.000 | Tribbie: 1150.913 | HuoHuo: 25.131
Run   61: Team DPAV: 15265.762 | RinTohsaka: 14132.477 | Sunday: 0.000 | Tribbie: 1102.954 | HuoHuo: 30.331
Run   62: Team DPAV: 15210.077 | RinTohsaka: 14125.393 | Sunday: 0.000 | Tribbie: 1059.612 | HuoHuo: 25.072
Run   63: Team DPAV: 15923.739 | RinTohsaka: 14843.796 | Sunday: 0.000 | Tribbie: 1054.811 | HuoHuo: 25.131
Run   64: Team DPAV: 14943.242 | RinTohsaka: 13890.043 | Sunday: 0.000 | Tribbie: 1027.649 | HuoHuo: 25.550
Run   65: Team DPAV: 16129.190 | RinTohsaka: 14984.414 | Sunday: 0.000 | Tribbie: 1119.645 | HuoHuo: 25.131
Run   66: Team DPAV: 15510.314 | RinTohsaka: 14325.943 | Sunday: 0.000 | Tribbie: 1159.240 | HuoHuo: 25.131
Run   67: Team DPAV: 15250.880 | RinTohsaka: 14138.203 | Sunday: 0.000 | Tribbie: 1087.126 | HuoHuo: 25.550
Run   68: Team DPAV: 14946.756 | RinTohsaka: 13922.645 | Sunday: 0.000 | Tribbie: 994.258 | HuoHuo: 29.853
Run   69: Team DPAV: 14705.853 | RinTohsaka: 13576.457 | Sunday: 0.000 | Tribbie: 1099.484 | HuoHuo: 29.913
Run   70: Team DPAV: 15513.997 | RinTohsaka: 14316.474 | Sunday: 0.000 | Tribbie: 1172.451 | HuoHuo: 25.072
Run   71: Team DPAV: 14940.025 | RinTohsaka: 13904.462 | Sunday: 0.000 | Tribbie: 1010.491 | HuoHuo: 25.072
Run   72: Team DPAV: 14928.709 | RinTohsaka: 13866.804 | Sunday: 0.000 | Tribbie: 1036.832 | HuoHuo: 25.072
Run   73: Team DPAV: 15560.357 | RinTohsaka: 14556.809 | Sunday: 0.000 | Tribbie: 978.476 | HuoHuo: 25.072
Run   74: Team DPAV: 15320.282 | RinTohsaka: 14185.802 | Sunday: 0.000 | Tribbie: 1109.348 | HuoHuo: 25.131
Run   75: Team DPAV: 14973.671 | RinTohsaka: 13919.494 | Sunday: 0.000 | Tribbie: 1028.626 | HuoHuo: 25.550
Run   76: Team DPAV: 14944.482 | RinTohsaka: 13863.068 | Sunday: 0.000 | Tribbie: 1056.342 | HuoHuo: 25.072
Run   77: Team DPAV: 15953.173 | RinTohsaka: 14872.039 | Sunday: 0.000 | Tribbie: 1056.062 | HuoHuo: 25.072
Run   78: Team DPAV: 15677.260 | RinTohsaka: 14542.780 | Sunday: 0.000 | Tribbie: 1109.348 | HuoHuo: 25.131
Run   79: Team DPAV: 15642.414 | RinTohsaka: 14510.804 | Sunday: 0.000 | Tribbie: 1101.756 | HuoHuo: 29.853
Run   80: Team DPAV: 15663.027 | RinTohsaka: 14508.493 | Sunday: 0.000 | Tribbie: 1129.462 | HuoHuo: 25.072
Run   81: Team DPAV: 14882.521 | RinTohsaka: 13862.652 | Sunday: 0.000 | Tribbie: 994.319 | HuoHuo: 25.550
Run   82: Team DPAV: 15035.430 | RinTohsaka: 13866.929 | Sunday: 0.000 | Tribbie: 1143.369 | HuoHuo: 25.131
Run   83: Team DPAV: 14965.272 | RinTohsaka: 13919.494 | Sunday: 0.000 | Tribbie: 1020.228 | HuoHuo: 25.550
Run   84: Team DPAV: 16252.817 | RinTohsaka: 15082.669 | Sunday: 0.000 | Tribbie: 1139.817 | HuoHuo: 30.331
Run   85: Team DPAV: 15138.099 | RinTohsaka: 14066.302 | Sunday: 0.000 | Tribbie: 1046.665 | HuoHuo: 25.131
Run   86: Team DPAV: 15603.825 | RinTohsaka: 14535.145 | Sunday: 0.000 | Tribbie: 1043.608 | HuoHuo: 25.072
Run   87: Team DPAV: 15243.495 | RinTohsaka: 14107.664 | Sunday: 0.000 | Tribbie: 1105.977 | HuoHuo: 29.853
Run   88: Team DPAV: 14546.782 | RinTohsaka: 13376.036 | Sunday: 0.000 | Tribbie: 1145.673 | HuoHuo: 25.072
Run   89: Team DPAV: 15210.077 | RinTohsaka: 14125.393 | Sunday: 0.000 | Tribbie: 1059.612 | HuoHuo: 25.072
Run   90: Team DPAV: 16960.726 | RinTohsaka: 15865.698 | Sunday: 0.000 | Tribbie: 1069.956 | HuoHuo: 25.072
Run   91: Team DPAV: 15014.415 | RinTohsaka: 13934.473 | Sunday: 0.000 | Tribbie: 1054.333 | HuoHuo: 25.610
Run   92: Team DPAV: 14437.533 | RinTohsaka: 13382.947 | Sunday: 0.000 | Tribbie: 1029.455 | HuoHuo: 25.131
Run   93: Team DPAV: 15099.136 | RinTohsaka: 14052.472 | Sunday: 0.000 | Tribbie: 1021.114 | HuoHuo: 25.550
Run   94: Team DPAV: 15203.914 | RinTohsaka: 14039.534 | Sunday: 0.000 | Tribbie: 1139.308 | HuoHuo: 25.072
Run   95: Team DPAV: 15484.827 | RinTohsaka: 14508.854 | Sunday: 0.000 | Tribbie: 950.842 | HuoHuo: 25.131
Run   96: Team DPAV: 14786.725 | RinTohsaka: 13729.541 | Sunday: 0.000 | Tribbie: 1032.052 | HuoHuo: 25.131
Run   97: Team DPAV: 15140.148 | RinTohsaka: 14015.042 | Sunday: 0.000 | Tribbie: 1099.974 | HuoHuo: 25.131
Run   98: Team DPAV: 14761.038 | RinTohsaka: 13607.709 | Sunday: 0.000 | Tribbie: 1128.198 | HuoHuo: 25.131
Run   99: Team DPAV: 15237.800 | RinTohsaka: 14066.128 | Sunday: 0.000 | Tribbie: 1146.600 | HuoHuo: 25.072
Run  100: Team DPAV: 15416.411 | RinTohsaka: 14346.003 | Sunday: 0.000 | Tribbie: 1044.858 | HuoHuo: 25.550

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 15224.859
Average RinTohsaka DPAV: 14126.523 Percentage: 92.786%
Average Sunday DPAV: 0.000 Percentage: 0.000%
Average Tribbie DPAV: 1072.649 Percentage: 7.045%
Average HuoHuo DPAV: 25.688 Percentage: 0.169%

Min Team DPAV: 14399.374
Max Team DPAV: 17319.748
