Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 41780.024 | Archer: 37146.724 | Sparkle: 0.000 | RinTohsaka: 4544.414 | HuoHuo: 0.000
Run    2: Team DPAV: 41056.650 | Archer: 36199.732 | Sparkle: 0.000 | RinTohsaka: 4768.032 | HuoHuo: 0.000
Run    3: Team DPAV: 42747.432 | Archer: 37926.822 | Sparkle: 0.000 | RinTohsaka: 4731.724 | HuoHuo: 0.000
Run    4: Team DPAV: 43550.544 | Archer: 38633.601 | Sparkle: 0.000 | RinTohsaka: 4828.057 | HuoHuo: 0.000
Run    5: Team DPAV: 41697.061 | Archer: 36569.939 | Sparkle: 0.000 | RinTohsaka: 5038.235 | HuoHuo: 0.000
Run    6: Team DPAV: 43166.272 | Archer: 38277.542 | Sparkle: 0.000 | RinTohsaka: 4799.844 | HuoHuo: 0.000
Run    7: Team DPAV: 41109.194 | Archer: 36440.784 | Sparkle: 0.000 | RinTohsaka: 4579.524 | HuoHuo: 0.000
Run    8: Team DPAV: 41174.329 | Archer: 36167.396 | Sparkle: 0.000 | RinTohsaka: 4918.047 | HuoHuo: 0.000
Run    9: Team DPAV: 42792.943 | Archer: 37985.580 | Sparkle: 0.000 | RinTohsaka: 4718.477 | HuoHuo: 0.000
Run   10: Team DPAV: 43673.630 | Archer: 38761.982 | Sparkle: 0.000 | RinTohsaka: 4822.762 | HuoHuo: 0.000
Run   11: Team DPAV: 41248.721 | Archer: 36563.115 | Sparkle: 0.000 | RinTohsaka: 4596.719 | HuoHuo: 0.000
Run   12: Team DPAV: 41056.650 | Archer: 36199.732 | Sparkle: 0.000 | RinTohsaka: 4768.032 | HuoHuo: 0.000
Run   13: Team DPAV: 44705.956 | Archer: 39633.283 | Sparkle: 0.000 | RinTohsaka: 4983.787 | HuoHuo: 0.000
Run   14: Team DPAV: 44470.909 | Archer: 39572.128 | Sparkle: 0.000 | RinTohsaka: 4809.894 | HuoHuo: 0.000
Run   15: Team DPAV: 40793.294 | Archer: 35924.845 | Sparkle: 0.000 | RinTohsaka: 4779.563 | HuoHuo: 0.000
Run   16: Team DPAV: 42007.012 | Archer: 37427.972 | Sparkle: 0.000 | RinTohsaka: 4490.153 | HuoHuo: 0.000
Run   17: Team DPAV: 44184.501 | Archer: 39433.156 | Sparkle: 0.000 | RinTohsaka: 4662.459 | HuoHuo: 0.000
Run   18: Team DPAV: 40752.599 | Archer: 35884.150 | Sparkle: 0.000 | RinTohsaka: 4779.563 | HuoHuo: 0.000
Run   19: Team DPAV: 42072.290 | Archer: 37036.658 | Sparkle: 0.000 | RinTohsaka: 4946.745 | HuoHuo: 0.000
Run   20: Team DPAV: 44649.677 | Archer: 39552.904 | Sparkle: 0.000 | RinTohsaka: 5007.886 | HuoHuo: 0.000
Run   21: Team DPAV: 41152.601 | Archer: 36162.864 | Sparkle: 0.000 | RinTohsaka: 4900.851 | HuoHuo: 0.000
Run   22: Team DPAV: 43143.829 | Archer: 38053.148 | Sparkle: 0.000 | RinTohsaka: 5001.795 | HuoHuo: 0.000
Run   23: Team DPAV: 45240.195 | Archer: 40166.773 | Sparkle: 0.000 | RinTohsaka: 4984.536 | HuoHuo: 0.000
Run   24: Team DPAV: 43687.726 | Archer: 38477.669 | Sparkle: 0.000 | RinTohsaka: 5121.171 | HuoHuo: 0.000
Run   25: Team DPAV: 41709.659 | Archer: 36908.708 | Sparkle: 0.000 | RinTohsaka: 4712.064 | HuoHuo: 0.000
Run   26: Team DPAV: 41513.770 | Archer: 36482.737 | Sparkle: 0.000 | RinTohsaka: 4942.146 | HuoHuo: 0.000
