Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   46: Team DPAV: 7483.667 | Feixiao: 4703.497 | MortenaxBlade: 1981.678 | Topaz: 768.532 | HuoHuo: 29.960
Run   47: Team DPAV: 8150.205 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 829.783 | HuoHuo: 29.960
Run   48: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   49: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   50: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   51: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   52: Team DPAV: 8050.365 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 829.783 | HuoHuo: 29.960
Run   53: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   54: Team DPAV: 7859.547 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 725.976 | HuoHuo: 29.960
Run   55: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   56: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   57: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   58: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   59: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   60: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   61: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   62: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   63: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   64: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   65: Team DPAV: 7483.667 | Feixiao: 4703.497 | MortenaxBlade: 1981.678 | Topaz: 768.532 | HuoHuo: 29.960
Run   66: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   67: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   68: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   69: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   70: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   71: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   72: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   73: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   74: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   75: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   76: Team DPAV: 7907.118 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 773.547 | HuoHuo: 29.960
Run   77: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   78: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   79: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   80: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   81: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   82: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   83: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   84: Team DPAV: 7483.667 | Feixiao: 4703.497 | MortenaxBlade: 1981.678 | Topaz: 768.532 | HuoHuo: 29.960
Run   85: Team DPAV: 8050.365 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 829.783 | HuoHuo: 29.960
Run   86: Team DPAV: 7060.786 | Feixiao: 4138.132 | MortenaxBlade: 2112.952 | Topaz: 779.741 | HuoHuo: 29.960
Run   87: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   88: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   89: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   90: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   91: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   92: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   93: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   94: Team DPAV: 8100.163 | Feixiao: 4799.477 | MortenaxBlade: 2490.985 | Topaz: 779.741 | HuoHuo: 29.960
Run   95: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   96: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   97: Team DPAV: 8000.323 | Feixiao: 4790.508 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   98: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run   99: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960
Run  100: Team DPAV: 7913.312 | Feixiao: 4703.497 | MortenaxBlade: 2400.114 | Topaz: 779.741 | HuoHuo: 29.960

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 7887.052
Average Feixiao DPAV: 4695.108
Average MortenaxBlade DPAV: 2380.400
Average Topaz DPAV: 781.584
Average HuoHuo DPAV: 29.960

Min Team DPAV: 7060.786
Max Team DPAV: 8186.089
