Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 55456.778 | Ashveil: 30172.206 | MortenaxBlade: 19061.845 | Tribbie: 5932.838 | HuoHuo: 110.515
Run   45: Team DPAV: 54911.711 | Ashveil: 30714.443 | MortenaxBlade: 18079.479 | Tribbie: 5827.899 | HuoHuo: 110.515
Run   46: Team DPAV: 52775.176 | Ashveil: 30457.980 | MortenaxBlade: 16287.909 | Tribbie: 5771.339 | HuoHuo: 110.515
Run   47: Team DPAV: 55141.185 | Ashveil: 30260.611 | MortenaxBlade: 18655.283 | Tribbie: 5999.285 | HuoHuo: 110.515
Run   48: Team DPAV: 51852.166 | Ashveil: 30152.155 | MortenaxBlade: 15914.130 | Tribbie: 5527.934 | HuoHuo: 110.515
Run   49: Team DPAV: 59024.564 | Ashveil: 33896.428 | MortenaxBlade: 18762.111 | Tribbie: 6108.078 | HuoHuo: 110.515
Run   50: Team DPAV: 52588.883 | Ashveil: 30517.249 | MortenaxBlade: 16287.909 | Tribbie: 5493.835 | HuoHuo: 110.515
Run   51: Team DPAV: 54986.669 | Ashveil: 30978.299 | MortenaxBlade: 17868.087 | Tribbie: 5887.956 | HuoHuo: 104.894
Run   52: Team DPAV: 52342.032 | Ashveil: 30194.274 | MortenaxBlade: 16328.087 | Tribbie: 5529.782 | HuoHuo: 110.515
Run   53: Team DPAV: 54422.127 | Ashveil: 30809.922 | MortenaxBlade: 17706.906 | Tribbie: 5615.410 | HuoHuo: 110.515
Run   54: Team DPAV: 55268.478 | Ashveil: 30883.893 | MortenaxBlade: 18363.984 | Tribbie: 5730.712 | HuoHuo: 110.515
Run   55: Team DPAV: 54493.802 | Ashveil: 30225.265 | MortenaxBlade: 18136.242 | Tribbie: 5842.405 | HuoHuo: 110.515
Run   56: Team DPAV: 52732.071 | Ashveil: 30704.411 | MortenaxBlade: 16243.421 | Tribbie: 5494.349 | HuoHuo: 110.515
Run   57: Team DPAV: 57973.193 | Ashveil: 33009.036 | MortenaxBlade: 18589.645 | Tribbie: 6116.564 | HuoHuo: 110.515
Run   58: Team DPAV: 53136.998 | Ashveil: 30260.953 | MortenaxBlade: 16742.705 | Tribbie: 5843.450 | HuoHuo: 110.515
Run   59: Team DPAV: 59007.932 | Ashveil: 33512.674 | MortenaxBlade: 19094.929 | Tribbie: 6110.439 | HuoHuo: 110.515
