Simulation Results - 100 runs
================================================================================

Run   46: Team DPAV: 27916.293 | MortenaxBlade: 26662.461 | Lingsha: 835.033 | RuanMei: 418.799 | Sparkle: 0.000
Run   47: Team DPAV: 21574.748 | MortenaxBlade: 20370.313 | Lingsha: 785.791 | RuanMei: 418.645 | Sparkle: 0.000
Run   48: Team DPAV: 27448.320 | MortenaxBlade: 26169.594 | Lingsha: 859.928 | RuanMei: 418.799 | Sparkle: 0.000
Run   49: Team DPAV: 26427.530 | MortenaxBlade: 25131.351 | Lingsha: 890.813 | RuanMei: 405.366 | Sparkle: 0.000
Run   50: Team DPAV: 26685.245 | MortenaxBlade: 25517.048 | Lingsha: 757.306 | RuanMei: 410.892 | Sparkle: 0.000
Run   51: Team DPAV: 21617.730 | MortenaxBlade: 20489.384 | Lingsha: 709.702 | RuanMei: 418.645 | Sparkle: 0.000
Run   52: Team DPAV: 25168.656 | MortenaxBlade: 23925.884 | Lingsha: 848.625 | RuanMei: 394.147 | Sparkle: 0.000
Run   53: Team DPAV: 26469.713 | MortenaxBlade: 25332.742 | Lingsha: 853.818 | RuanMei: 283.153 | Sparkle: 0.000
Run   54: Team DPAV: 21606.625 | MortenaxBlade: 20489.384 | Lingsha: 698.596 | RuanMei: 418.645 | Sparkle: 0.000
Run   55: Team DPAV: 18718.613 | MortenaxBlade: 17511.826 | Lingsha: 788.142 | RuanMei: 418.645 | Sparkle: 0.000
Run   56: Team DPAV: 21406.804 | MortenaxBlade: 20076.469 | Lingsha: 915.369 | RuanMei: 414.966 | Sparkle: 0.000
Run   57: Team DPAV: 26339.205 | MortenaxBlade: 25170.554 | Lingsha: 754.158 | RuanMei: 414.493 | Sparkle: 0.000
Run   58: Team DPAV: 27523.788 | MortenaxBlade: 26288.696 | Lingsha: 815.621 | RuanMei: 419.471 | Sparkle: 0.000
Run   59: Team DPAV: 29428.079 | MortenaxBlade: 28128.535 | Lingsha: 880.745 | RuanMei: 418.799 | Sparkle: 0.000
Run   60: Team DPAV: 26381.814 | MortenaxBlade: 25184.864 | Lingsha: 789.795 | RuanMei: 407.155 | Sparkle: 0.000
Run   61: Team DPAV: 27287.832 | MortenaxBlade: 26090.202 | Lingsha: 778.831 | RuanMei: 418.799 | Sparkle: 0.000
Run   62: Team DPAV: 21175.647 | MortenaxBlade: 20106.813 | Lingsha: 674.091 | RuanMei: 394.743 | Sparkle: 0.000
Run   63: Team DPAV: 20691.433 | MortenaxBlade: 19631.766 | Lingsha: 664.925 | RuanMei: 394.743 | Sparkle: 0.000
Run   64: Team DPAV: 22690.267 | MortenaxBlade: 21415.462 | Lingsha: 856.007 | RuanMei: 418.799 | Sparkle: 0.000
Run   65: Team DPAV: 27721.894 | MortenaxBlade: 26445.295 | Lingsha: 862.388 | RuanMei: 414.211 | Sparkle: 0.000
Run   66: Team DPAV: 25157.620 | MortenaxBlade: 23874.682 | Lingsha: 877.572 | RuanMei: 405.366 | Sparkle: 0.000
Run   67: Team DPAV: 26229.558 | MortenaxBlade: 25061.244 | Lingsha: 769.442 | RuanMei: 398.872 | Sparkle: 0.000
Run   68: Team DPAV: 21043.528 | MortenaxBlade: 19730.212 | Lingsha: 902.564 | RuanMei: 410.753 | Sparkle: 0.000
Run   69: Team DPAV: 27134.727 | MortenaxBlade: 25923.566 | Lingsha: 792.362 | RuanMei: 418.799 | Sparkle: 0.000
Run   70: Team DPAV: 27919.972 | MortenaxBlade: 26662.461 | Lingsha: 838.712 | RuanMei: 418.799 | Sparkle: 0.000
Run   71: Team DPAV: 21491.321 | MortenaxBlade: 20370.313 | Lingsha: 702.364 | RuanMei: 418.645 | Sparkle: 0.000
Run   72: Team DPAV: 27468.874 | MortenaxBlade: 26219.630 | Lingsha: 835.033 | RuanMei: 414.211 | Sparkle: 0.000
Run   73: Team DPAV: 27468.874 | MortenaxBlade: 26219.630 | Lingsha: 835.033 | RuanMei: 414.211 | Sparkle: 0.000
Run   74: Team DPAV: 27620.007 | MortenaxBlade: 26341.281 | Lingsha: 859.928 | RuanMei: 418.799 | Sparkle: 0.000
Run   75: Team DPAV: 25165.047 | MortenaxBlade: 23874.682 | Lingsha: 884.999 | RuanMei: 405.366 | Sparkle: 0.000
Run   76: Team DPAV: 26360.340 | MortenaxBlade: 25190.032 | Lingsha: 759.417 | RuanMei: 410.892 | Sparkle: 0.000
Run   77: Team DPAV: 26110.690 | MortenaxBlade: 24932.943 | Lingsha: 766.856 | RuanMei: 410.892 | Sparkle: 0.000
Run   78: Team DPAV: 21493.781 | MortenaxBlade: 20370.313 | Lingsha: 704.824 | RuanMei: 418.645 | Sparkle: 0.000
Run   79: Team DPAV: 26371.620 | MortenaxBlade: 25183.341 | Lingsha: 773.786 | RuanMei: 414.493 | Sparkle: 0.000
Run   80: Team DPAV: 23228.845 | MortenaxBlade: 21933.573 | Lingsha: 889.906 | RuanMei: 405.366 | Sparkle: 0.000
Run   81: Team DPAV: 27939.984 | MortenaxBlade: 26598.736 | Lingsha: 922.527 | RuanMei: 418.722 | Sparkle: 0.000
Run   82: Team DPAV: 27642.534 | MortenaxBlade: 26364.050 | Lingsha: 859.685 | RuanMei: 418.799 | Sparkle: 0.000
Run   83: Team DPAV: 26639.643 | MortenaxBlade: 25476.380 | Lingsha: 752.372 | RuanMei: 410.892 | Sparkle: 0.000
Run   84: Team DPAV: 26071.496 | MortenaxBlade: 24985.074 | Lingsha: 691.587 | RuanMei: 394.835 | Sparkle: 0.000
Run   85: Team DPAV: 21574.748 | MortenaxBlade: 20370.313 | Lingsha: 785.791 | RuanMei: 418.645 | Sparkle: 0.000
Run   86: Team DPAV: 21701.948 | MortenaxBlade: 20489.384 | Lingsha: 793.919 | RuanMei: 418.645 | Sparkle: 0.000
Run   87: Team DPAV: 26366.361 | MortenaxBlade: 25190.032 | Lingsha: 765.438 | RuanMei: 410.892 | Sparkle: 0.000
Run   88: Team DPAV: 27395.666 | MortenaxBlade: 26188.947 | Lingsha: 790.151 | RuanMei: 416.568 | Sparkle: 0.000
Run   89: Team DPAV: 26055.301 | MortenaxBlade: 24825.964 | Lingsha: 822.007 | RuanMei: 407.330 | Sparkle: 0.000
Run   90: Team DPAV: 21771.915 | MortenaxBlade: 20458.232 | Lingsha: 895.115 | RuanMei: 418.568 | Sparkle: 0.000
Run   91: Team DPAV: 25042.104 | MortenaxBlade: 23788.107 | Lingsha: 835.199 | RuanMei: 418.799 | Sparkle: 0.000
Run   92: Team DPAV: 20902.864 | MortenaxBlade: 19750.837 | Lingsha: 741.228 | RuanMei: 410.799 | Sparkle: 0.000
Run   93: Team DPAV: 25518.797 | MortenaxBlade: 24321.317 | Lingsha: 782.987 | RuanMei: 414.493 | Sparkle: 0.000
Run   94: Team DPAV: 26122.437 | MortenaxBlade: 24881.850 | Lingsha: 821.789 | RuanMei: 418.799 | Sparkle: 0.000
Run   95: Team DPAV: 27373.089 | MortenaxBlade: 26098.284 | Lingsha: 856.007 | RuanMei: 418.799 | Sparkle: 0.000
Run   96: Team DPAV: 25625.776 | MortenaxBlade: 24335.412 | Lingsha: 884.999 | RuanMei: 405.366 | Sparkle: 0.000
Run   97: Team DPAV: 21688.191 | MortenaxBlade: 20489.384 | Lingsha: 780.162 | RuanMei: 418.645 | Sparkle: 0.000
Run   98: Team DPAV: 26366.361 | MortenaxBlade: 25190.032 | Lingsha: 765.438 | RuanMei: 410.892 | Sparkle: 0.000
Run   99: Team DPAV: 25239.153 | MortenaxBlade: 24060.809 | Lingsha: 763.850 | RuanMei: 414.493 | Sparkle: 0.000
Run  100: Team DPAV: 27499.543 | MortenaxBlade: 26288.696 | Lingsha: 792.049 | RuanMei: 418.799 | Sparkle: 0.000

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 25172.339
Average MortenaxBlade DPAV: 23959.207
Average Lingsha DPAV: 801.719
Average RuanMei DPAV: 411.413
Average Sparkle DPAV: 0.000

Min Team DPAV: 18718.613
Max Team DPAV: 29428.752
