Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   48: Team DPAV: 27456.291 | Saber: 14670.792 | Gilgamesh: 8173.024 | Cipher: 4378.044 | HuoHuo: 0.000
Run   49: Team DPAV: 28449.698 | Saber: 14146.561 | Gilgamesh: 9006.937 | Cipher: 5047.063 | HuoHuo: 0.000
Run   50: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   51: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   52: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   53: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   54: Team DPAV: 28617.644 | Saber: 14907.998 | Gilgamesh: 9515.844 | Cipher: 3959.372 | HuoHuo: 0.000
Run   55: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   56: Team DPAV: 28899.200 | Saber: 15058.381 | Gilgamesh: 9595.826 | Cipher: 4010.563 | HuoHuo: 0.000
Run   57: Team DPAV: 24110.053 | Saber: 11089.642 | Gilgamesh: 8451.481 | Cipher: 4334.499 | HuoHuo: 0.000
Run   58: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   59: Team DPAV: 28647.961 | Saber: 14917.894 | Gilgamesh: 9531.809 | Cipher: 3963.827 | HuoHuo: 0.000
Run   60: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   61: Team DPAV: 32104.672 | Saber: 16733.806 | Gilgamesh: 10575.026 | Cipher: 4561.409 | HuoHuo: 0.000
Run   62: Team DPAV: 28889.048 | Saber: 15998.338 | Gilgamesh: 8381.991 | Cipher: 4274.288 | HuoHuo: 0.000
Run   63: Team DPAV: 28678.562 | Saber: 14934.527 | Gilgamesh: 9540.650 | Cipher: 3968.955 | HuoHuo: 0.000
Run   64: Team DPAV: 25923.329 | Saber: 13009.025 | Gilgamesh: 8118.464 | Cipher: 4561.409 | HuoHuo: 0.000
Run   65: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   66: Team DPAV: 27944.184 | Saber: 15065.275 | Gilgamesh: 8597.139 | Cipher: 4047.340 | HuoHuo: 0.000
Run   67: Team DPAV: 24004.149 | Saber: 11068.844 | Gilgamesh: 8383.012 | Cipher: 4317.862 | HuoHuo: 0.000
Run   68: Team DPAV: 28647.961 | Saber: 14917.894 | Gilgamesh: 9531.809 | Cipher: 3963.827 | HuoHuo: 0.000
Run   69: Team DPAV: 28929.801 | Saber: 15075.014 | Gilgamesh: 9604.666 | Cipher: 4015.690 | HuoHuo: 0.000
Run   70: Team DPAV: 27802.068 | Saber: 14907.998 | Gilgamesh: 8580.183 | Cipher: 4079.457 | HuoHuo: 0.000
Run   71: Team DPAV: 27913.584 | Saber: 15048.642 | Gilgamesh: 8588.298 | Cipher: 4042.213 | HuoHuo: 0.000
Run   72: Team DPAV: 28617.644 | Saber: 14907.998 | Gilgamesh: 9515.844 | Cipher: 3959.372 | HuoHuo: 0.000
Run   73: Team DPAV: 29026.623 | Saber: 15874.622 | Gilgamesh: 8580.183 | Cipher: 4337.387 | HuoHuo: 0.000
Run   74: Team DPAV: 29026.623 | Saber: 15874.622 | Gilgamesh: 8580.183 | Cipher: 4337.387 | HuoHuo: 0.000
Run   75: Team DPAV: 28984.973 | Saber: 14800.544 | Gilgamesh: 9922.347 | Cipher: 4027.651 | HuoHuo: 0.000
