Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 23684.253 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   48: Team DPAV: 23058.159 | RinTohsaka: 22725.832 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   49: Team DPAV: 23528.966 | RinTohsaka: 23177.786 | Sparkle: 0.000 | Robin: 311.797 | HuoHuo: 39.383
Run   50: Team DPAV: 22973.499 | RinTohsaka: 22641.172 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   51: Team DPAV: 24290.661 | RinTohsaka: 23958.334 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   52: Team DPAV: 22214.521 | RinTohsaka: 21882.194 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   53: Team DPAV: 23683.498 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   54: Team DPAV: 23265.097 | RinTohsaka: 22932.770 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   55: Team DPAV: 22741.790 | RinTohsaka: 22409.463 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   56: Team DPAV: 23684.253 | RinTohsaka: 23351.171 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 39.383
Run   57: Team DPAV: 23036.209 | RinTohsaka: 22671.399 | Sparkle: 0.000 | Robin: 325.427 | HuoHuo: 39.383
Run   58: Team DPAV: 23426.321 | RinTohsaka: 23093.994 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   59: Team DPAV: 24095.668 | RinTohsaka: 23763.341 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   60: Team DPAV: 23557.919 | RinTohsaka: 23225.894 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.326
Run   61: Team DPAV: 23910.351 | RinTohsaka: 23543.027 | Sparkle: 0.000 | Robin: 327.942 | HuoHuo: 39.383
Run   62: Team DPAV: 23058.159 | RinTohsaka: 22725.832 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   63: Team DPAV: 23235.185 | RinTohsaka: 22902.858 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   64: Team DPAV: 23265.097 | RinTohsaka: 22932.770 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   65: Team DPAV: 23205.775 | RinTohsaka: 22873.448 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   66: Team DPAV: 22758.440 | RinTohsaka: 22436.218 | Sparkle: 0.000 | Robin: 283.595 | HuoHuo: 38.628
Run   67: Team DPAV: 22933.848 | RinTohsaka: 22615.151 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   68: Team DPAV: 22275.048 | RinTohsaka: 21997.895 | Sparkle: 0.000 | Robin: 244.817 | HuoHuo: 32.337
Run   69: Team DPAV: 23365.982 | RinTohsaka: 23047.285 | Sparkle: 0.000 | Robin: 280.070 | HuoHuo: 38.628
Run   70: Team DPAV: 23426.321 | RinTohsaka: 23093.994 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
Run   71: Team DPAV: 23623.819 | RinTohsaka: 23291.492 | Sparkle: 0.000 | Robin: 293.699 | HuoHuo: 38.628
