Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 30308.492 | Gilgamesh: 19654.234 | Ashveil: 8664.279 | Tribbie: 1454.672 | HuoHuo: 14.442
Run   46: Team DPAV: 31584.289 | Gilgamesh: 20341.076 | Ashveil: 9263.197 | Tribbie: 1451.157 | HuoHuo: 14.390
Run   47: Team DPAV: 31539.870 | Gilgamesh: 20376.094 | Ashveil: 9116.802 | Tribbie: 1501.614 | HuoHuo: 14.390
Run   48: Team DPAV: 29998.650 | Gilgamesh: 19654.234 | Ashveil: 8360.353 | Tribbie: 1448.757 | HuoHuo: 14.442
Run   49: Team DPAV: 31484.175 | Gilgamesh: 20350.607 | Ashveil: 8993.354 | Tribbie: 1594.853 | HuoHuo: 14.390
Run   50: Team DPAV: 31300.350 | Gilgamesh: 20261.857 | Ashveil: 8994.492 | Tribbie: 1501.957 | HuoHuo: 14.442
Run   51: Team DPAV: 31480.409 | Gilgamesh: 20350.607 | Ashveil: 9100.331 | Tribbie: 1484.111 | HuoHuo: 14.390
Run   52: Team DPAV: 31697.479 | Gilgamesh: 20324.517 | Ashveil: 9339.670 | Tribbie: 1504.433 | HuoHuo: 14.390
Run   53: Team DPAV: 31561.894 | Gilgamesh: 20252.799 | Ashveil: 9280.473 | Tribbie: 1499.711 | HuoHuo: 14.442
Run   54: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   55: Team DPAV: 30802.411 | Gilgamesh: 19637.675 | Ashveil: 9174.259 | Tribbie: 1455.170 | HuoHuo: 14.442
Run   56: Team DPAV: 31997.920 | Gilgamesh: 20310.144 | Ashveil: 9653.451 | Tribbie: 1499.019 | HuoHuo: 14.442
Run   57: Team DPAV: 31489.333 | Gilgamesh: 20252.799 | Ashveil: 9259.172 | Tribbie: 1448.451 | HuoHuo: 14.442
Run   58: Team DPAV: 30198.365 | Gilgamesh: 19676.122 | Ashveil: 8522.840 | Tribbie: 1457.412 | HuoHuo: 14.390
Run   59: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   60: Team DPAV: 31658.492 | Gilgamesh: 20341.076 | Ashveil: 9284.498 | Tribbie: 1504.059 | HuoHuo: 14.390
Run   61: Team DPAV: 30159.717 | Gilgamesh: 19631.354 | Ashveil: 8552.553 | Tribbie: 1446.898 | HuoHuo: 14.442
Run   62: Team DPAV: 30461.022 | Gilgamesh: 19703.625 | Ashveil: 8773.532 | Tribbie: 1455.007 | HuoHuo: 14.390
