Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   48: Team DPAV: 14540.638 | Feixiao: 8026.771 | Robin: 1248.720 | Ashveil: 5144.531 | HuoHuo: 36.692
Run   49: Team DPAV: 14868.436 | Feixiao: 8271.736 | Robin: 1311.634 | Ashveil: 5163.882 | HuoHuo: 37.258
Run   50: Team DPAV: 12807.008 | Feixiao: 7123.751 | Robin: 1018.841 | Ashveil: 4560.106 | HuoHuo: 32.606
Run   51: Team DPAV: 14593.867 | Feixiao: 8030.579 | Robin: 1268.112 | Ashveil: 5173.992 | HuoHuo: 37.258
Run   52: Team DPAV: 14533.800 | Feixiao: 8168.727 | Robin: 1304.865 | Ashveil: 4939.590 | HuoHuo: 36.692
Run   53: Team DPAV: 14893.226 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5198.174 | HuoHuo: 37.258
Run   54: Team DPAV: 14869.861 | Feixiao: 8261.930 | Robin: 1331.026 | Ashveil: 5156.288 | HuoHuo: 36.692
Run   55: Team DPAV: 12607.407 | Feixiao: 7123.751 | Robin: 975.286 | Ashveil: 4404.060 | HuoHuo: 32.606
Run   56: Team DPAV: 15057.417 | Feixiao: 8264.484 | Robin: 1338.251 | Ashveil: 5333.498 | HuoHuo: 37.258
Run   57: Team DPAV: 13053.803 | Feixiao: 7382.566 | Robin: 1139.830 | Ashveil: 4410.223 | HuoHuo: 37.258
Run   58: Team DPAV: 13053.803 | Feixiao: 7382.566 | Robin: 1139.830 | Ashveil: 4410.223 | HuoHuo: 37.258
Run   59: Team DPAV: 14896.897 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5201.845 | HuoHuo: 37.258
Run   60: Team DPAV: 14893.226 | Feixiao: 8271.914 | Robin: 1301.955 | Ashveil: 5198.174 | HuoHuo: 37.258
Run   61: Team DPAV: 14377.927 | Feixiao: 8005.023 | Robin: 1224.522 | Ashveil: 5027.199 | HuoHuo: 37.258
