Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 62540.062 | Evanescia: 60152.459 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1665.506
Run   48: Team DPAV: 57301.986 | Evanescia: 54943.155 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1636.733
Run   49: Team DPAV: 62642.014 | Evanescia: 60327.867 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1592.050
Run   50: Team DPAV: 63452.158 | Evanescia: 61032.019 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1698.041
Run   51: Team DPAV: 62751.834 | Evanescia: 60420.785 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1608.952
Run   52: Team DPAV: 62016.455 | Evanescia: 59681.979 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1612.379
Run   53: Team DPAV: 67659.018 | Evanescia: 65311.132 | Sunday: 0.000 | HuoHuo: 17.558 | ElationMC: 1626.100
Run   54: Team DPAV: 64356.256 | Evanescia: 61971.153 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1663.006
Run   55: Team DPAV: 62738.063 | Evanescia: 60407.013 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1608.952
Run   56: Team DPAV: 64080.694 | Evanescia: 61664.146 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1694.451
Run   57: Team DPAV: 64675.245 | Evanescia: 62277.248 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1675.900
Run   58: Team DPAV: 61379.835 | Evanescia: 59049.982 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1607.755
Run   59: Team DPAV: 68760.361 | Evanescia: 66389.542 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1648.722
Run   60: Team DPAV: 67061.643 | Evanescia: 64672.136 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1667.410
Run   61: Team DPAV: 59100.430 | Evanescia: 56771.372 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1606.960
Run   62: Team DPAV: 60095.136 | Evanescia: 57764.086 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1608.952
Run   63: Team DPAV: 71162.179 | Evanescia: 68790.142 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1649.940
Run   64: Team DPAV: 63886.751 | Evanescia: 61535.260 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1684.291
Run   65: Team DPAV: 60583.969 | Evanescia: 58197.172 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1664.699
Run   66: Team DPAV: 65908.825 | Evanescia: 63561.710 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1625.018
Run   67: Team DPAV: 62317.053 | Evanescia: 59983.374 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1611.581
Run   68: Team DPAV: 62376.698 | Evanescia: 60044.978 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1609.623
Run   69: Team DPAV: 63721.435 | Evanescia: 61389.721 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1609.616
Run   70: Team DPAV: 64262.916 | Evanescia: 61842.839 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1697.979
Run   71: Team DPAV: 59222.996 | Evanescia: 56854.772 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1646.127
Run   72: Team DPAV: 60520.650 | Evanescia: 58186.971 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1611.581
Run   73: Team DPAV: 64696.450 | Evanescia: 62382.303 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1592.050
Run   74: Team DPAV: 62623.440 | Evanescia: 60235.685 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1665.658
Run   75: Team DPAV: 65036.207 | Evanescia: 62716.902 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1597.207
Run   76: Team DPAV: 59455.976 | Evanescia: 57126.918 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1606.960
Run   77: Team DPAV: 61300.172 | Evanescia: 58883.602 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1694.472
Run   78: Team DPAV: 69163.786 | Evanescia: 66783.173 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1658.516
Run   79: Team DPAV: 61245.934 | Evanescia: 58912.255 | Sunday: 0.000 | HuoHuo: 17.870 | ElationMC: 1611.581
