Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 26138.665 | Acheron: 15630.227 | MortenaxBlade: 5300.818 | Cipher: 4882.581 | HuoHuo: 18.240
Run   46: Team DPAV: 25500.046 | Acheron: 15190.042 | MortenaxBlade: 5190.846 | Cipher: 4787.663 | HuoHuo: 18.240
Run   47: Team DPAV: 24304.237 | Acheron: 15157.197 | MortenaxBlade: 4242.217 | Cipher: 4533.360 | HuoHuo: 19.477
Run   48: Team DPAV: 24304.237 | Acheron: 15157.197 | MortenaxBlade: 4242.217 | Cipher: 4533.360 | HuoHuo: 19.477
Run   49: Team DPAV: 24326.429 | Acheron: 14912.432 | MortenaxBlade: 4476.692 | Cipher: 4545.457 | HuoHuo: 20.559
Run   50: Team DPAV: 25514.667 | Acheron: 15236.130 | MortenaxBlade: 5172.993 | Cipher: 4780.505 | HuoHuo: 18.240
Run   51: Team DPAV: 25908.305 | Acheron: 15201.107 | MortenaxBlade: 5443.697 | Cipher: 4923.624 | HuoHuo: 20.559
Run   52: Team DPAV: 26150.909 | Acheron: 15369.613 | MortenaxBlade: 5505.281 | Cipher: 4892.534 | HuoHuo: 20.559
Run   53: Team DPAV: 24845.215 | Acheron: 15390.234 | MortenaxBlade: 4451.317 | Cipher: 4635.429 | HuoHuo: 19.477
Run   54: Team DPAV: 25519.920 | Acheron: 15091.204 | MortenaxBlade: 5268.335 | Cipher: 4837.625 | HuoHuo: 19.185
Run   55: Team DPAV: 25431.339 | Acheron: 15165.982 | MortenaxBlade: 5172.994 | Cipher: 4767.324 | HuoHuo: 18.240
Run   56: Team DPAV: 25981.996 | Acheron: 15284.810 | MortenaxBlade: 5457.360 | Cipher: 4917.069 | HuoHuo: 19.185
Run   57: Team DPAV: 24354.406 | Acheron: 15127.859 | MortenaxBlade: 4296.650 | Cipher: 4558.434 | HuoHuo: 19.477
Run   58: Team DPAV: 24607.546 | Acheron: 15094.231 | MortenaxBlade: 4528.960 | Cipher: 4665.771 | HuoHuo: 18.240
Run   59: Team DPAV: 25823.001 | Acheron: 15359.589 | MortenaxBlade: 5307.070 | Cipher: 4831.303 | HuoHuo: 18.240
Run   60: Team DPAV: 24612.292 | Acheron: 15223.696 | MortenaxBlade: 4420.472 | Cipher: 4596.661 | HuoHuo: 19.477
Run   61: Team DPAV: 24171.553 | Acheron: 15090.569 | MortenaxBlade: 4177.930 | Cipher: 4534.819 | HuoHuo: 19.477
Run   62: Team DPAV: 25981.996 | Acheron: 15284.810 | MortenaxBlade: 5457.360 | Cipher: 4917.069 | HuoHuo: 19.185
Run   63: Team DPAV: 26185.623 | Acheron: 15383.926 | MortenaxBlade: 5505.531 | Cipher: 4935.278 | HuoHuo: 20.559
Run   64: Team DPAV: 26037.372 | Acheron: 15494.908 | MortenaxBlade: 5353.515 | Cipher: 4863.911 | HuoHuo: 18.240
Run   65: Team DPAV: 23089.559 | Acheron: 13924.209 | MortenaxBlade: 4498.348 | Cipher: 4318.132 | HuoHuo: 19.477
Run   66: Team DPAV: 24671.673 | Acheron: 15199.728 | MortenaxBlade: 4480.482 | Cipher: 4642.593 | HuoHuo: 19.477
Run   67: Team DPAV: 25824.966 | Acheron: 15359.589 | MortenaxBlade: 5309.840 | Cipher: 4830.499 | HuoHuo: 18.240
Run   68: Team DPAV: 26130.084 | Acheron: 15565.056 | MortenaxBlade: 5362.535 | Cipher: 4877.453 | HuoHuo: 18.240
Run   69: Team DPAV: 25793.611 | Acheron: 15181.582 | MortenaxBlade: 5462.572 | Cipher: 4785.170 | HuoHuo: 19.477
Run   70: Team DPAV: 25999.051 | Acheron: 15271.255 | MortenaxBlade: 5449.948 | Cipher: 4937.972 | HuoHuo: 20.559
Run   71: Team DPAV: 26192.831 | Acheron: 15383.926 | MortenaxBlade: 5534.123 | Cipher: 4913.893 | HuoHuo: 20.559
Run   72: Team DPAV: 25793.611 | Acheron: 15181.582 | MortenaxBlade: 5462.572 | Cipher: 4785.170 | HuoHuo: 19.477
Run   73: Team DPAV: 26128.118 | Acheron: 15565.056 | MortenaxBlade: 5359.765 | Cipher: 4878.258 | HuoHuo: 18.240
Run   74: Team DPAV: 26094.877 | Acheron: 15313.778 | MortenaxBlade: 5499.280 | Cipher: 4920.931 | HuoHuo: 20.559
Run   75: Team DPAV: 25908.305 | Acheron: 15201.107 | MortenaxBlade: 5443.697 | Cipher: 4923.624 | HuoHuo: 20.559
Run   76: Team DPAV: 26128.118 | Acheron: 15565.056 | MortenaxBlade: 5359.765 | Cipher: 4878.258 | HuoHuo: 18.240
Run   77: Team DPAV: 25924.561 | Acheron: 15408.149 | MortenaxBlade: 5321.445 | Cipher: 4853.790 | HuoHuo: 18.240
Run   78: Team DPAV: 26284.526 | Acheron: 15700.375 | MortenaxBlade: 5353.514 | Cipher: 4905.598 | HuoHuo: 18.240
Run   79: Team DPAV: 26128.118 | Acheron: 15565.056 | MortenaxBlade: 5359.765 | Cipher: 4878.258 | HuoHuo: 18.240
Run   80: Team DPAV: 24502.939 | Acheron: 15133.796 | MortenaxBlade: 4413.465 | Cipher: 4616.492 | HuoHuo: 19.477
Run   81: Team DPAV: 24757.474 | Acheron: 15273.099 | MortenaxBlade: 4465.035 | Cipher: 4654.332 | HuoHuo: 19.477
Run   82: Team DPAV: 26128.118 | Acheron: 15565.056 | MortenaxBlade: 5359.765 | Cipher: 4878.258 | HuoHuo: 18.240
Run   83: Team DPAV: 26128.118 | Acheron: 15565.056 | MortenaxBlade: 5359.765 | Cipher: 4878.258 | HuoHuo: 18.240
Run   84: Team DPAV: 25899.126 | Acheron: 15383.649 | MortenaxBlade: 5331.173 | Cipher: 4852.809 | HuoHuo: 18.240
Run   85: Team DPAV: 26039.338 | Acheron: 15494.908 | MortenaxBlade: 5356.285 | Cipher: 4863.106 | HuoHuo: 18.240
