Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 24713.299 | RinTohsaka: 20816.754 | Sparkle: 0.000 | MortenaxBlade: 3399.146 | Lingsha: 497.399
Run   45: Team DPAV: 25141.886 | RinTohsaka: 21569.813 | Sparkle: 0.000 | MortenaxBlade: 3066.411 | Lingsha: 505.663
Run   46: Team DPAV: 25785.579 | RinTohsaka: 21783.342 | Sparkle: 0.000 | MortenaxBlade: 3367.297 | Lingsha: 634.940
Run   47: Team DPAV: 30702.791 | RinTohsaka: 26440.112 | Sparkle: 0.000 | MortenaxBlade: 3655.781 | Lingsha: 606.899
Run   48: Team DPAV: 25001.348 | RinTohsaka: 21032.497 | Sparkle: 0.000 | MortenaxBlade: 3387.621 | Lingsha: 581.230
Run   49: Team DPAV: 29101.918 | RinTohsaka: 24954.841 | Sparkle: 0.000 | MortenaxBlade: 3549.579 | Lingsha: 597.498
Run   50: Team DPAV: 28769.015 | RinTohsaka: 24693.812 | Sparkle: 0.000 | MortenaxBlade: 3498.244 | Lingsha: 576.959
Run   51: Team DPAV: 28555.464 | RinTohsaka: 24571.117 | Sparkle: 0.000 | MortenaxBlade: 3422.418 | Lingsha: 561.929
Run   52: Team DPAV: 26093.928 | RinTohsaka: 23059.179 | Sparkle: 0.000 | MortenaxBlade: 2497.732 | Lingsha: 537.016
Run   53: Team DPAV: 27642.811 | RinTohsaka: 23618.126 | Sparkle: 0.000 | MortenaxBlade: 3446.167 | Lingsha: 578.517
Run   54: Team DPAV: 28091.956 | RinTohsaka: 23925.673 | Sparkle: 0.000 | MortenaxBlade: 3578.878 | Lingsha: 587.404
Run   55: Team DPAV: 29457.243 | RinTohsaka: 25399.147 | Sparkle: 0.000 | MortenaxBlade: 3460.965 | Lingsha: 597.131
Run   56: Team DPAV: 28462.900 | RinTohsaka: 24399.332 | Sparkle: 0.000 | MortenaxBlade: 3516.767 | Lingsha: 546.802
Run   57: Team DPAV: 28540.642 | RinTohsaka: 24538.380 | Sparkle: 0.000 | MortenaxBlade: 3510.956 | Lingsha: 491.306
Run   58: Team DPAV: 29433.269 | RinTohsaka: 25552.416 | Sparkle: 0.000 | MortenaxBlade: 3351.089 | Lingsha: 529.765
Run   59: Team DPAV: 25785.579 | RinTohsaka: 21783.342 | Sparkle: 0.000 | MortenaxBlade: 3367.297 | Lingsha: 634.940
Run   60: Team DPAV: 28414.042 | RinTohsaka: 24346.019 | Sparkle: 0.000 | MortenaxBlade: 3478.956 | Lingsha: 589.067
