Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 50857.185 | Gilgamesh: 31268.164 | Ashveil: 12039.262 | MortenaxBlade: 7058.713 | HuoHuo: 44.940
Run    2: Team DPAV: 50569.215 | Gilgamesh: 30257.920 | Ashveil: 12356.457 | MortenaxBlade: 7504.977 | HuoHuo: 45.060
Run    3: Team DPAV: 49380.749 | Gilgamesh: 31143.974 | Ashveil: 11258.694 | MortenaxBlade: 6538.814 | HuoHuo: 45.060
Run    4: Team DPAV: 49374.852 | Gilgamesh: 30196.248 | Ashveil: 11554.342 | MortenaxBlade: 7149.973 | HuoHuo: 44.076
Run    5: Team DPAV: 49334.047 | Gilgamesh: 30253.894 | Ashveil: 11320.044 | MortenaxBlade: 7289.715 | HuoHuo: 44.940
Run    6: Team DPAV: 49440.536 | Gilgamesh: 30290.086 | Ashveil: 11426.036 | MortenaxBlade: 7274.553 | HuoHuo: 45.060
Run    7: Team DPAV: 49116.732 | Gilgamesh: 30204.650 | Ashveil: 11252.093 | MortenaxBlade: 7220.722 | HuoHuo: 45.060
Run    8: Team DPAV: 48921.348 | Gilgamesh: 29451.854 | Ashveil: 12415.786 | MortenaxBlade: 6557.902 | HuoHuo: 44.940
Run    9: Team DPAV: 49703.044 | Gilgamesh: 31137.534 | Ashveil: 11588.842 | MortenaxBlade: 6500.530 | HuoHuo: 45.924
Run   10: Team DPAV: 51104.798 | Gilgamesh: 31190.447 | Ashveil: 11828.065 | MortenaxBlade: 7647.020 | HuoHuo: 45.060
Run   11: Team DPAV: 46100.097 | Gilgamesh: 28934.184 | Ashveil: 10714.455 | MortenaxBlade: 5950.234 | HuoHuo: 45.060
Run   12: Team DPAV: 49231.380 | Gilgamesh: 30202.007 | Ashveil: 11268.973 | MortenaxBlade: 7300.480 | HuoHuo: 45.060
Run   13: Team DPAV: 49303.120 | Gilgamesh: 30256.281 | Ashveil: 11406.211 | MortenaxBlade: 7201.362 | HuoHuo: 45.060
Run   14: Team DPAV: 50571.584 | Gilgamesh: 31189.421 | Ashveil: 11871.344 | MortenaxBlade: 7040.425 | HuoHuo: 44.940
Run   15: Team DPAV: 49703.044 | Gilgamesh: 31137.534 | Ashveil: 11588.842 | MortenaxBlade: 6500.530 | HuoHuo: 45.924
Run   16: Team DPAV: 48622.460 | Gilgamesh: 29960.373 | Ashveil: 11621.859 | MortenaxBlade: 6569.714 | HuoHuo: 45.060
Run   17: Team DPAV: 50650.800 | Gilgamesh: 31218.253 | Ashveil: 11355.600 | MortenaxBlade: 7596.376 | HuoHuo: 45.060
Run   18: Team DPAV: 50490.153 | Gilgamesh: 30233.115 | Ashveil: 12324.890 | MortenaxBlade: 7462.618 | HuoHuo: 44.076
Run   19: Team DPAV: 48636.769 | Gilgamesh: 28521.217 | Ashveil: 12303.612 | MortenaxBlade: 7320.893 | HuoHuo: 44.940
Run   20: Team DPAV: 48967.136 | Gilgamesh: 30205.315 | Ashveil: 11075.264 | MortenaxBlade: 7226.759 | HuoHuo: 44.940
Run   21: Team DPAV: 50801.119 | Gilgamesh: 31137.045 | Ashveil: 11627.004 | MortenaxBlade: 7577.272 | HuoHuo: 44.940
Run   22: Team DPAV: 49258.178 | Gilgamesh: 30253.894 | Ashveil: 11251.168 | MortenaxBlade: 7282.722 | HuoHuo: 44.940
