Simulation Results - 100 runs
================================================================================

Run   44: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   45: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   46: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   47: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   48: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   49: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   50: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   51: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   52: Team DPAV: 20601.741 | Feixiao: 8912.035 | MortenaxBlade: 4252.648 | Ashveil: 7255.498 | HuoHuo: 55.121
Run   53: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   54: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   55: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   56: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   57: Team DPAV: 21033.197 | Feixiao: 8855.658 | MortenaxBlade: 4517.223 | Ashveil: 7478.756 | HuoHuo: 55.121
Run   58: Team DPAV: 21275.044 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7738.431 | HuoHuo: 55.121
Run   59: Team DPAV: 20716.690 | Feixiao: 8852.914 | MortenaxBlade: 4517.223 | Ashveil: 7165.143 | HuoHuo: 54.971
Run   60: Team DPAV: 20076.093 | Feixiao: 8717.722 | MortenaxBlade: 3900.481 | Ashveil: 7276.330 | HuoHuo: 55.121
Run   61: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   62: Team DPAV: 21326.370 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7789.757 | HuoHuo: 55.121
Run   63: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   64: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   65: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
Run   66: Team DPAV: 21141.199 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7604.586 | HuoHuo: 55.121
Run   67: Team DPAV: 21023.780 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7487.317 | HuoHuo: 54.971
Run   68: Team DPAV: 21074.869 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7538.255 | HuoHuo: 55.121
Run   69: Team DPAV: 20983.631 | Feixiao: 8912.035 | MortenaxBlade: 4443.018 | Ashveil: 7447.018 | HuoHuo: 55.121
Run   70: Team DPAV: 20418.608 | Feixiao: 8717.722 | MortenaxBlade: 4090.852 | Ashveil: 7428.624 | HuoHuo: 54.971
Run   71: Team DPAV: 20870.610 | Feixiao: 8717.722 | MortenaxBlade: 4517.223 | Ashveil: 7454.105 | HuoHuo: 55.121
