Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 34369.579 | Gilgamesh: 20207.304 | Ashveil: 7439.442 | Cipher: 6169.621 | HuoHuo: 0.000
Run   46: Team DPAV: 33907.880 | Gilgamesh: 20156.141 | Ashveil: 7144.500 | Cipher: 6054.027 | HuoHuo: 0.000
Run   47: Team DPAV: 33607.259 | Gilgamesh: 20817.081 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run   48: Team DPAV: 33967.725 | Gilgamesh: 20207.304 | Ashveil: 7144.500 | Cipher: 6062.708 | HuoHuo: 0.000
Run   49: Team DPAV: 33932.205 | Gilgamesh: 19974.681 | Ashveil: 7526.310 | Cipher: 5878.003 | HuoHuo: 0.000
Run   50: Team DPAV: 33347.611 | Gilgamesh: 20829.524 | Ashveil: 7100.587 | Cipher: 4864.289 | HuoHuo: 0.000
Run   51: Team DPAV: 34536.318 | Gilgamesh: 20182.213 | Ashveil: 7620.898 | Cipher: 6170.999 | HuoHuo: 0.000
Run   52: Team DPAV: 32858.765 | Gilgamesh: 20722.614 | Ashveil: 6822.117 | Cipher: 4762.216 | HuoHuo: 0.000
Run   53: Team DPAV: 33357.508 | Gilgamesh: 20170.824 | Ashveil: 6740.499 | Cipher: 5877.759 | HuoHuo: 0.000
Run   54: Team DPAV: 33366.093 | Gilgamesh: 19421.730 | Ashveil: 7383.797 | Cipher: 6011.157 | HuoHuo: 0.000
Run   55: Team DPAV: 32984.262 | Gilgamesh: 20677.870 | Ashveil: 6942.646 | Cipher: 4828.531 | HuoHuo: 0.000
Run   56: Team DPAV: 34030.677 | Gilgamesh: 20323.388 | Ashveil: 7288.358 | Cipher: 5854.314 | HuoHuo: 0.000
Run   57: Team DPAV: 33607.259 | Gilgamesh: 20817.081 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run   58: Team DPAV: 33013.781 | Gilgamesh: 19689.622 | Ashveil: 6974.454 | Cipher: 5785.088 | HuoHuo: 0.000
Run   59: Team DPAV: 32869.302 | Gilgamesh: 19553.289 | Ashveil: 7105.968 | Cipher: 5641.620 | HuoHuo: 0.000
Run   60: Team DPAV: 33485.271 | Gilgamesh: 20695.093 | Ashveil: 7424.301 | Cipher: 4830.662 | HuoHuo: 0.000
Run   61: Team DPAV: 33993.905 | Gilgamesh: 20335.514 | Ashveil: 7145.566 | Cipher: 5964.805 | HuoHuo: 0.000
