Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 43442.416 | Evanescia: 27459.013 | YaoGuang: 8346.152 | HuoHuo: 7.993 | ElationMC: 7138.184
Run    2: Team DPAV: 46798.355 | Evanescia: 30478.411 | YaoGuang: 8560.991 | HuoHuo: 7.993 | ElationMC: 7259.885
Run    3: Team DPAV: 46253.996 | Evanescia: 30262.919 | YaoGuang: 8490.922 | HuoHuo: 7.993 | ElationMC: 7001.089
Run    4: Team DPAV: 46345.140 | Evanescia: 30020.703 | YaoGuang: 8569.492 | HuoHuo: 7.993 | ElationMC: 7255.879
Run    5: Team DPAV: 46294.496 | Evanescia: 29848.252 | YaoGuang: 8666.934 | HuoHuo: 7.593 | ElationMC: 7280.643
Run    6: Team DPAV: 45898.048 | Evanescia: 28979.298 | YaoGuang: 8866.386 | HuoHuo: 7.993 | ElationMC: 7553.297
Run    7: Team DPAV: 47190.820 | Evanescia: 30403.268 | YaoGuang: 8861.781 | HuoHuo: 7.593 | ElationMC: 7427.104
Run    8: Team DPAV: 46159.104 | Evanescia: 29939.775 | YaoGuang: 8525.141 | HuoHuo: 7.593 | ElationMC: 7195.520
Run    9: Team DPAV: 47404.496 | Evanescia: 30612.249 | YaoGuang: 8914.268 | HuoHuo: 7.993 | ElationMC: 7378.912
Run   10: Team DPAV: 47531.117 | Evanescia: 30977.188 | YaoGuang: 8716.476 | HuoHuo: 7.593 | ElationMC: 7338.786
Run   11: Team DPAV: 41224.432 | Evanescia: 25516.752 | YaoGuang: 8219.490 | HuoHuo: 7.993 | ElationMC: 6989.123
Run   12: Team DPAV: 43434.411 | Evanescia: 27442.287 | YaoGuang: 8354.874 | HuoHuo: 7.993 | ElationMC: 7138.184
Run   13: Team DPAV: 46466.406 | Evanescia: 29754.439 | YaoGuang: 8820.392 | HuoHuo: 7.593 | ElationMC: 7392.909
Run   14: Team DPAV: 46394.302 | Evanescia: 29658.048 | YaoGuang: 8783.428 | HuoHuo: 7.993 | ElationMC: 7453.760
Run   15: Team DPAV: 46226.390 | Evanescia: 30015.324 | YaoGuang: 8515.597 | HuoHuo: 7.993 | ElationMC: 7196.402
Run   16: Team DPAV: 45793.840 | Evanescia: 29618.479 | YaoGuang: 8575.668 | HuoHuo: 7.993 | ElationMC: 7100.626
Run   17: Team DPAV: 46673.991 | Evanescia: 30376.445 | YaoGuang: 8522.174 | HuoHuo: 7.993 | ElationMC: 7276.304
Run   18: Team DPAV: 46407.619 | Evanescia: 30225.975 | YaoGuang: 8623.423 | HuoHuo: 7.593 | ElationMC: 7059.554
Run   19: Team DPAV: 45419.166 | Evanescia: 29779.033 | YaoGuang: 8192.194 | HuoHuo: 7.993 | ElationMC: 6948.873
Run   20: Team DPAV: 46177.157 | Evanescia: 29907.299 | YaoGuang: 8522.173 | HuoHuo: 7.993 | ElationMC: 7248.617
