Simulation Results - 100 runs
================================================================================

Run   46: Team DPAV: 30325.969 | Saber: 15984.304 | Gilgamesh: 12954.484 | Tribbie: 1052.754 | HuoHuo: 25.493
Run   47: Team DPAV: 30615.426 | Saber: 16281.656 | Gilgamesh: 13024.372 | Tribbie: 990.462 | HuoHuo: 25.486
Run   48: Team DPAV: 33766.102 | Saber: 19683.445 | Gilgamesh: 12733.956 | Tribbie: 1014.275 | HuoHuo: 25.493
Run   49: Team DPAV: 28342.906 | Saber: 16260.736 | Gilgamesh: 10779.323 | Tribbie: 983.912 | HuoHuo: 25.486
Run   50: Team DPAV: 25708.014 | Saber: 14755.055 | Gilgamesh: 9724.747 | Tribbie: 909.277 | HuoHuo: 25.486
Run   51: Team DPAV: 30141.453 | Saber: 16174.783 | Gilgamesh: 12661.599 | Tribbie: 986.136 | HuoHuo: 25.486
Run   52: Team DPAV: 26227.938 | Saber: 14881.726 | Gilgamesh: 10074.753 | Tribbie: 945.242 | HuoHuo: 63.738
Run   53: Team DPAV: 30826.711 | Saber: 16648.383 | Gilgamesh: 12819.650 | Tribbie: 1024.717 | HuoHuo: 25.026
Run   54: Team DPAV: 30051.761 | Saber: 15766.902 | Gilgamesh: 12926.285 | Tribbie: 1024.147 | HuoHuo: 25.493
Run   55: Team DPAV: 30738.645 | Saber: 16580.169 | Gilgamesh: 12823.277 | Tribbie: 1015.797 | HuoHuo: 25.953
Run   56: Team DPAV: 26224.126 | Saber: 14890.508 | Gilgamesh: 10113.910 | Tribbie: 900.772 | HuoHuo: 25.486
Run   57: Team DPAV: 30207.642 | Saber: 16366.201 | Gilgamesh: 12481.583 | Tribbie: 1033.640 | HuoHuo: 63.738
Run   58: Team DPAV: 30463.483 | Saber: 16130.749 | Gilgamesh: 13024.372 | Tribbie: 989.425 | HuoHuo: 25.486
Run   59: Team DPAV: 30585.505 | Saber: 16081.706 | Gilgamesh: 13155.625 | Tribbie: 1028.771 | HuoHuo: 25.953
Run   60: Team DPAV: 33480.400 | Saber: 19273.086 | Gilgamesh: 12819.095 | Tribbie: 1053.793 | HuoHuo: 25.493
Run   61: Team DPAV: 30355.278 | Saber: 16064.628 | Gilgamesh: 12948.316 | Tribbie: 1023.399 | HuoHuo: 25.486
Run   62: Team DPAV: 35218.440 | Saber: 20680.993 | Gilgamesh: 13134.174 | Tribbie: 1068.846 | HuoHuo: 25.493
Run   63: Team DPAV: 30635.875 | Saber: 16595.134 | Gilgamesh: 12689.465 | Tribbie: 1017.316 | HuoHuo: 25.026
Run   64: Team DPAV: 30449.131 | Saber: 16000.020 | Gilgamesh: 13125.288 | Tribbie: 989.395 | HuoHuo: 25.493
Run   65: Team DPAV: 30826.711 | Saber: 16648.383 | Gilgamesh: 12819.650 | Tribbie: 1024.717 | HuoHuo: 25.026
Run   66: Team DPAV: 30834.618 | Saber: 16747.497 | Gilgamesh: 12740.260 | Tribbie: 1027.458 | HuoHuo: 25.953
Run   67: Team DPAV: 32149.373 | Saber: 18265.939 | Gilgamesh: 12479.363 | Tribbie: 1070.111 | HuoHuo: 25.026
Run   68: Team DPAV: 26163.004 | Saber: 14881.726 | Gilgamesh: 10013.446 | Tribbie: 941.614 | HuoHuo: 63.738
Run   69: Team DPAV: 30801.413 | Saber: 16547.152 | Gilgamesh: 12941.657 | Tribbie: 978.644 | HuoHuo: 25.026
Run   70: Team DPAV: 30001.415 | Saber: 15721.306 | Gilgamesh: 12977.562 | Tribbie: 1014.581 | HuoHuo: 25.486
Run   71: Team DPAV: 33443.319 | Saber: 19174.983 | Gilgamesh: 12868.006 | Tribbie: 1065.903 | HuoHuo: 25.493
Run   72: Team DPAV: 33958.849 | Saber: 19641.143 | Gilgamesh: 12907.918 | Tribbie: 1075.361 | HuoHuo: 25.493
Run   73: Team DPAV: 31247.773 | Saber: 16747.497 | Gilgamesh: 13155.625 | Tribbie: 1025.715 | HuoHuo: 25.486
Run   74: Team DPAV: 30640.859 | Saber: 16414.183 | Gilgamesh: 12896.948 | Tribbie: 1003.510 | HuoHuo: 63.738
Run   75: Team DPAV: 29892.294 | Saber: 15899.883 | Gilgamesh: 12689.465 | Tribbie: 968.520 | HuoHuo: 25.493
Run   76: Team DPAV: 32536.567 | Saber: 18209.850 | Gilgamesh: 12931.857 | Tribbie: 1060.433 | HuoHuo: 25.493
Run   77: Team DPAV: 29729.441 | Saber: 15660.392 | Gilgamesh: 12733.130 | Tribbie: 1001.959 | HuoHuo: 25.026
Run   78: Team DPAV: 33284.955 | Saber: 19148.014 | Gilgamesh: 12742.666 | Tribbie: 1059.848 | HuoHuo: 25.493
Run   79: Team DPAV: 30877.412 | Saber: 16647.153 | Gilgamesh: 12873.095 | Tribbie: 1023.204 | HuoHuo: 25.026
Run   80: Team DPAV: 30504.155 | Saber: 16580.169 | Gilgamesh: 12578.682 | Tribbie: 1011.345 | HuoHuo: 25.026
Run   81: Team DPAV: 30097.456 | Saber: 16064.628 | Gilgamesh: 12680.780 | Tribbie: 1033.113 | HuoHuo: 25.486
Run   82: Team DPAV: 26186.555 | Saber: 14881.726 | Gilgamesh: 10035.595 | Tribbie: 943.017 | HuoHuo: 63.738
Run   83: Team DPAV: 33187.134 | Saber: 19311.561 | Gilgamesh: 12490.890 | Tribbie: 1050.255 | HuoHuo: 25.493
Run   84: Team DPAV: 29859.384 | Saber: 15361.508 | Gilgamesh: 13182.209 | Tribbie: 1012.215 | HuoHuo: 25.486
Run   85: Team DPAV: 33247.982 | Saber: 19211.788 | Gilgamesh: 12649.302 | Tribbie: 1052.465 | HuoHuo: 25.493
Run   86: Team DPAV: 33041.794 | Saber: 19203.033 | Gilgamesh: 12456.655 | Tribbie: 1047.679 | HuoHuo: 25.493
Run   87: Team DPAV: 33615.104 | Saber: 19251.059 | Gilgamesh: 12946.698 | Tribbie: 1067.435 | HuoHuo: 25.493
Run   88: Team DPAV: 30117.839 | Saber: 15874.140 | Gilgamesh: 12941.657 | Tribbie: 968.082 | HuoHuo: 25.026
Run   89: Team DPAV: 29454.204 | Saber: 15914.378 | Gilgamesh: 12198.071 | Tribbie: 1007.328 | HuoHuo: 25.493
Run   90: Team DPAV: 34118.343 | Saber: 19612.643 | Gilgamesh: 13089.242 | Tribbie: 1082.031 | HuoHuo: 25.493
Run   91: Team DPAV: 30745.384 | Saber: 16816.332 | Gilgamesh: 12622.998 | Tribbie: 972.093 | HuoHuo: 25.026
Run   92: Team DPAV: 34015.844 | Saber: 19599.772 | Gilgamesh: 13006.686 | Tribbie: 1074.959 | HuoHuo: 25.493
Run   93: Team DPAV: 26166.899 | Saber: 14881.726 | Gilgamesh: 10091.761 | Tribbie: 867.195 | HuoHuo: 63.738
Run   94: Team DPAV: 30029.792 | Saber: 15767.266 | Gilgamesh: 12923.661 | Tribbie: 1004.904 | HuoHuo: 25.026
Run   95: Team DPAV: 28270.615 | Saber: 16492.696 | Gilgamesh: 10507.392 | Tribbie: 936.567 | HuoHuo: 25.026
Run   96: Team DPAV: 35109.375 | Saber: 20443.533 | Gilgamesh: 13284.872 | Tribbie: 1092.935 | HuoHuo: 25.554
Run   97: Team DPAV: 26070.042 | Saber: 14890.508 | Gilgamesh: 9991.296 | Tribbie: 900.271 | HuoHuo: 25.486
Run   98: Team DPAV: 28983.351 | Saber: 16113.019 | Gilgamesh: 11541.576 | Tribbie: 994.329 | HuoHuo: 25.493
Run   99: Team DPAV: 30584.399 | Saber: 16595.134 | Gilgamesh: 12636.019 | Tribbie: 1019.286 | HuoHuo: 25.026
