Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   48: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   49: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   50: Team DPAV: 23924.623 | Gilgamesh: 17498.388 | Ashveil: 5612.803 | Robin: 452.428 | HuoHuo: 0.000
Run   51: Team DPAV: 24704.476 | Gilgamesh: 18255.983 | Ashveil: 5584.440 | Robin: 503.048 | HuoHuo: 0.000
Run   52: Team DPAV: 18561.170 | Gilgamesh: 13035.003 | Ashveil: 4773.591 | Robin: 401.808 | HuoHuo: 0.000
Run   53: Team DPAV: 23418.351 | Gilgamesh: 16917.683 | Ashveil: 5734.883 | Robin: 406.870 | HuoHuo: 0.000
Run   54: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   55: Team DPAV: 20289.128 | Gilgamesh: 14754.343 | Ashveil: 4731.262 | Robin: 448.576 | HuoHuo: 0.000
Run   56: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   57: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   58: Team DPAV: 23924.623 | Gilgamesh: 17498.388 | Ashveil: 5612.803 | Robin: 452.428 | HuoHuo: 0.000
Run   59: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   60: Team DPAV: 19151.860 | Gilgamesh: 12952.557 | Ashveil: 5467.642 | Robin: 399.277 | HuoHuo: 0.000
Run   61: Team DPAV: 18448.585 | Gilgamesh: 12952.557 | Ashveil: 4764.367 | Robin: 399.277 | HuoHuo: 0.000
Run   62: Team DPAV: 20361.994 | Gilgamesh: 13899.878 | Ashveil: 5638.448 | Robin: 452.428 | HuoHuo: 0.000
Run   63: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   64: Team DPAV: 18561.170 | Gilgamesh: 13035.003 | Ashveil: 4773.591 | Robin: 401.808 | HuoHuo: 0.000
Run   65: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run   66: Team DPAV: 22559.914 | Gilgamesh: 16109.674 | Ashveil: 5688.309 | Robin: 403.018 | HuoHuo: 0.000
Run   67: Team DPAV: 20289.128 | Gilgamesh: 14754.343 | Ashveil: 4731.262 | Robin: 448.576 | HuoHuo: 0.000
Run   68: Team DPAV: 20127.840 | Gilgamesh: 14754.343 | Ashveil: 4569.974 | Robin: 448.576 | HuoHuo: 0.000
Run   69: Team DPAV: 18390.516 | Gilgamesh: 13035.003 | Ashveil: 4602.937 | Robin: 401.808 | HuoHuo: 0.000
Run   70: Team DPAV: 24032.263 | Gilgamesh: 17649.806 | Ashveil: 5579.262 | Robin: 452.428 | HuoHuo: 0.000
Run   71: Team DPAV: 23924.623 | Gilgamesh: 17498.388 | Ashveil: 5612.803 | Robin: 452.428 | HuoHuo: 0.000
Run   72: Team DPAV: 18561.170 | Gilgamesh: 13035.003 | Ashveil: 4773.591 | Robin: 401.808 | HuoHuo: 0.000
Run   73: Team DPAV: 24074.037 | Gilgamesh: 17649.806 | Ashveil: 5621.036 | Robin: 452.428 | HuoHuo: 0.000
Run   74: Team DPAV: 20289.128 | Gilgamesh: 14754.343 | Ashveil: 4731.262 | Robin: 448.576 | HuoHuo: 0.000
Run   75: Team DPAV: 20289.128 | Gilgamesh: 14754.343 | Ashveil: 4731.262 | Robin: 448.576 | HuoHuo: 0.000
Run   76: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   77: Team DPAV: 18332.435 | Gilgamesh: 13002.859 | Ashveil: 4571.173 | Robin: 399.277 | HuoHuo: 0.000
Run   78: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   79: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
Run   80: Team DPAV: 18389.246 | Gilgamesh: 13016.256 | Ashveil: 4630.652 | Robin: 401.808 | HuoHuo: 0.000
Run   81: Team DPAV: 18463.384 | Gilgamesh: 12952.557 | Ashveil: 4779.165 | Robin: 399.277 | HuoHuo: 0.000
