Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 33196.738 | Saber: 17863.344 | Gilgamesh: 14480.844 | RuanMei: 508.883 | HuoHuo: 35.123
Run   48: Team DPAV: 34550.773 | Saber: 18394.377 | Gilgamesh: 15284.095 | RuanMei: 506.309 | HuoHuo: 37.068
Run   49: Team DPAV: 34137.117 | Saber: 17797.177 | Gilgamesh: 15389.534 | RuanMei: 600.462 | HuoHuo: 36.874
Run   50: Team DPAV: 34836.215 | Saber: 18643.800 | Gilgamesh: 15320.114 | RuanMei: 506.309 | HuoHuo: 37.068
Run   51: Team DPAV: 34205.520 | Saber: 18650.353 | Gilgamesh: 14650.639 | RuanMei: 560.860 | HuoHuo: 35.123
Run   52: Team DPAV: 34554.723 | Saber: 18394.377 | Gilgamesh: 15288.044 | RuanMei: 506.309 | HuoHuo: 37.068
Run   53: Team DPAV: 29789.794 | Saber: 16880.168 | Gilgamesh: 11849.459 | RuanMei: 642.243 | HuoHuo: 77.673
Run   54: Team DPAV: 32447.761 | Saber: 17260.707 | Gilgamesh: 14278.000 | RuanMei: 560.860 | HuoHuo: 35.123
Run   55: Team DPAV: 34149.155 | Saber: 17801.072 | Gilgamesh: 15467.807 | RuanMei: 503.637 | HuoHuo: 36.387
Run   56: Team DPAV: 33414.302 | Saber: 17149.361 | Gilgamesh: 15353.515 | RuanMei: 559.210 | HuoHuo: 36.874
Run   57: Team DPAV: 32970.896 | Saber: 18920.440 | Gilgamesh: 13238.270 | RuanMei: 509.609 | HuoHuo: 37.068
Run   58: Team DPAV: 31676.339 | Saber: 16350.537 | Gilgamesh: 14398.996 | RuanMei: 556.446 | HuoHuo: 34.637
Run   59: Team DPAV: 30682.005 | Saber: 17255.394 | Gilgamesh: 12609.167 | RuanMei: 510.533 | HuoHuo: 36.874
Run   60: Team DPAV: 34550.773 | Saber: 18394.377 | Gilgamesh: 15284.095 | RuanMei: 506.309 | HuoHuo: 37.068
Run   61: Team DPAV: 34287.568 | Saber: 18067.952 | Gilgamesh: 15165.727 | RuanMei: 642.243 | HuoHuo: 75.923
Run   62: Team DPAV: 34874.986 | Saber: 18643.800 | Gilgamesh: 15358.884 | RuanMei: 506.309 | HuoHuo: 37.068
Run   63: Team DPAV: 33423.082 | Saber: 17742.464 | Gilgamesh: 14685.461 | RuanMei: 638.414 | HuoHuo: 36.874
