Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 37802.182 | Saber: 18583.512 | Gilgamesh: 14863.925 | MortenaxBlade: 3782.962 | Lingsha: 323.438
Run   46: Team DPAV: 38745.973 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run   47: Team DPAV: 42130.758 | Saber: 21128.640 | Gilgamesh: 16349.873 | MortenaxBlade: 4027.078 | Lingsha: 376.821
Run   48: Team DPAV: 38720.485 | Saber: 19259.121 | Gilgamesh: 15216.972 | MortenaxBlade: 3672.786 | Lingsha: 320.900
Run   49: Team DPAV: 40216.232 | Saber: 19736.027 | Gilgamesh: 16068.284 | MortenaxBlade: 3788.429 | Lingsha: 372.786
Run   50: Team DPAV: 37152.301 | Saber: 18131.714 | Gilgamesh: 15579.643 | MortenaxBlade: 2872.667 | Lingsha: 319.932
Run   51: Team DPAV: 38273.523 | Saber: 18734.289 | Gilgamesh: 15462.772 | MortenaxBlade: 3509.884 | Lingsha: 318.232
Run   52: Team DPAV: 42921.056 | Saber: 21286.505 | Gilgamesh: 17238.062 | MortenaxBlade: 3753.378 | Lingsha: 392.406
Run   53: Team DPAV: 38873.572 | Saber: 18942.150 | Gilgamesh: 15737.478 | MortenaxBlade: 3639.355 | Lingsha: 306.244
Run   54: Team DPAV: 39932.182 | Saber: 19698.779 | Gilgamesh: 15942.325 | MortenaxBlade: 3737.634 | Lingsha: 305.099
Run   55: Team DPAV: 37646.631 | Saber: 18571.266 | Gilgamesh: 15398.625 | MortenaxBlade: 3090.814 | Lingsha: 337.580
Run   56: Team DPAV: 40270.928 | Saber: 20611.286 | Gilgamesh: 15360.624 | MortenaxBlade: 3744.595 | Lingsha: 306.078
Run   57: Team DPAV: 38979.786 | Saber: 19259.121 | Gilgamesh: 15308.817 | MortenaxBlade: 3786.833 | Lingsha: 374.310
Run   58: Team DPAV: 39496.670 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3797.096 | Lingsha: 304.440
Run   59: Team DPAV: 38745.973 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run   60: Team DPAV: 38745.973 | Saber: 19223.875 | Gilgamesh: 15922.913 | MortenaxBlade: 3030.908 | Lingsha: 319.932
Run   61: Team DPAV: 37265.979 | Saber: 17760.504 | Gilgamesh: 15056.749 | MortenaxBlade: 3872.511 | Lingsha: 327.870
