Simulation Results - 100 runs
================================================================================

Run   45: Team DPAV: 29630.651 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9094.215 | Lingsha: 387.953
Run   46: Team DPAV: 29630.651 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9094.215 | Lingsha: 387.953
Run   47: Team DPAV: 29767.190 | Feixiao: 11662.837 | MortenaxBlade: 8636.093 | Ashveil: 8896.811 | Lingsha: 383.468
Run   48: Team DPAV: 29175.969 | Feixiao: 11523.003 | MortenaxBlade: 8337.894 | Ashveil: 8743.623 | Lingsha: 383.468
Run   49: Team DPAV: 30168.333 | Feixiao: 11297.588 | MortenaxBlade: 9005.553 | Ashveil: 9317.020 | Lingsha: 387.975
Run   50: Team DPAV: 30108.983 | Feixiao: 11338.716 | MortenaxBlade: 9004.559 | Ashveil: 9217.537 | Lingsha: 387.975
Run   51: Team DPAV: 29045.616 | Feixiao: 11276.009 | MortenaxBlade: 8115.868 | Ashveil: 9085.233 | Lingsha: 411.644
Run   52: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   53: Team DPAV: 29767.190 | Feixiao: 11662.837 | MortenaxBlade: 8636.093 | Ashveil: 8896.811 | Lingsha: 383.468
Run   54: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   55: Team DPAV: 29085.903 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8733.973 | Lingsha: 383.468
Run   56: Team DPAV: 29658.390 | Feixiao: 11582.421 | MortenaxBlade: 8603.304 | Ashveil: 8901.216 | Lingsha: 383.468
Run   57: Team DPAV: 31105.040 | Feixiao: 11480.610 | MortenaxBlade: 8898.644 | Ashveil: 10150.859 | Lingsha: 414.730
Run   58: Team DPAV: 30540.951 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9245.103 | Lingsha: 407.509
Run   59: Team DPAV: 30233.951 | Feixiao: 11444.680 | MortenaxBlade: 9016.980 | Ashveil: 9224.119 | Lingsha: 387.975
Run   60: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   61: Team DPAV: 30086.302 | Feixiao: 11338.716 | MortenaxBlade: 8981.878 | Ashveil: 9217.537 | Lingsha: 387.975
Run   62: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   63: Team DPAV: 30208.862 | Feixiao: 11465.308 | MortenaxBlade: 8932.397 | Ashveil: 9235.491 | Lingsha: 415.469
Run   64: Team DPAV: 30844.861 | Feixiao: 11465.308 | MortenaxBlade: 9354.514 | Ashveil: 9456.595 | Lingsha: 408.248
Run   65: Team DPAV: 29085.903 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8733.973 | Lingsha: 383.468
Run   66: Team DPAV: 29776.840 | Feixiao: 11662.837 | MortenaxBlade: 8636.093 | Ashveil: 8906.461 | Lingsha: 383.468
Run   67: Team DPAV: 30037.059 | Feixiao: 11276.565 | MortenaxBlade: 8769.537 | Ashveil: 9441.943 | Lingsha: 388.818
Run   68: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   69: Team DPAV: 31308.906 | Feixiao: 11276.565 | MortenaxBlade: 9085.805 | Ashveil: 10397.522 | Lingsha: 388.818
Run   70: Team DPAV: 30227.369 | Feixiao: 11444.680 | MortenaxBlade: 9016.980 | Ashveil: 9217.537 | Lingsha: 387.975
Run   71: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   72: Team DPAV: 28856.346 | Feixiao: 11038.365 | MortenaxBlade: 8576.952 | Ashveil: 8699.173 | Lingsha: 384.992
Run   73: Team DPAV: 30684.622 | Feixiao: 11502.226 | MortenaxBlade: 8908.204 | Ashveil: 9699.265 | Lingsha: 414.730
Run   74: Team DPAV: 32839.991 | Feixiao: 11513.887 | MortenaxBlade: 9337.338 | Ashveil: 11439.751 | Lingsha: 388.818
Run   75: Team DPAV: 29100.798 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8748.869 | Lingsha: 383.468
Run   76: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   77: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   78: Team DPAV: 30398.720 | Feixiao: 11337.060 | MortenaxBlade: 9053.162 | Ashveil: 9440.792 | Lingsha: 407.509
Run   79: Team DPAV: 29214.003 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8748.869 | Lingsha: 383.468
Run   80: Team DPAV: 30740.360 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9444.512 | Lingsha: 407.509
Run   81: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   82: Team DPAV: 30118.543 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9217.537 | Lingsha: 387.975
Run   83: Team DPAV: 30118.543 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9217.537 | Lingsha: 387.975
Run   84: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   85: Team DPAV: 29214.003 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8748.869 | Lingsha: 383.468
Run   86: Team DPAV: 30540.951 | Feixiao: 11498.510 | MortenaxBlade: 9229.632 | Ashveil: 9245.103 | Lingsha: 407.509
Run   87: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   88: Team DPAV: 29658.390 | Feixiao: 11582.421 | MortenaxBlade: 8603.304 | Ashveil: 8901.216 | Lingsha: 383.468
Run   89: Team DPAV: 29095.553 | Feixiao: 11442.587 | MortenaxBlade: 8337.894 | Ashveil: 8743.623 | Lingsha: 383.468
Run   90: Team DPAV: 29626.771 | Feixiao: 11262.915 | MortenaxBlade: 8725.371 | Ashveil: 9090.336 | Lingsha: 387.953
Run   91: Team DPAV: 29776.840 | Feixiao: 11662.837 | MortenaxBlade: 8636.093 | Ashveil: 8906.461 | Lingsha: 383.468
Run   92: Team DPAV: 30108.983 | Feixiao: 11338.716 | MortenaxBlade: 9004.559 | Ashveil: 9217.537 | Lingsha: 387.975
Run   93: Team DPAV: 29204.353 | Feixiao: 11523.003 | MortenaxBlade: 8370.683 | Ashveil: 8739.218 | Lingsha: 383.468
Run   94: Team DPAV: 30118.543 | Feixiao: 11338.716 | MortenaxBlade: 9014.119 | Ashveil: 9217.537 | Lingsha: 387.975
Run   95: Team DPAV: 30466.853 | Feixiao: 11380.484 | MortenaxBlade: 8964.222 | Ashveil: 9554.442 | Lingsha: 407.509
Run   96: Team DPAV: 32600.374 | Feixiao: 11544.645 | MortenaxBlade: 9644.639 | Ashveil: 10842.645 | Lingsha: 408.248
Run   97: Team DPAV: 31262.180 | Feixiao: 11465.308 | MortenaxBlade: 9645.829 | Ashveil: 9582.599 | Lingsha: 408.248
Run   98: Team DPAV: 28856.346 | Feixiao: 11038.365 | MortenaxBlade: 8576.952 | Ashveil: 8699.173 | Lingsha: 384.992
Run   99: Team DPAV: 30891.903 | Feixiao: 11465.308 | MortenaxBlade: 9626.540 | Ashveil: 9231.612 | Lingsha: 408.248
Run  100: Team DPAV: 30680.742 | Feixiao: 11502.226 | MortenaxBlade: 8908.204 | Ashveil: 9695.385 | Lingsha: 414.730

================================================================================
AVERAGES
================================================================================
Average Team DPAV: 29844.256
Average Feixiao DPAV: 11387.508
Average MortenaxBlade DPAV: 8730.978
Average Ashveil DPAV: 9165.466
Average Lingsha DPAV: 391.939

Min Team DPAV: 27339.581
Max Team DPAV: 32839.991
