Simulation Results - 100 runs
================================================================================

Run    1: Team DPAV: 74067.384 | Ashveil: 28071.162 | MortenaxBlade: 36691.539 | Tribbie: 9036.440 | HuoHuo: 45.480
Run    2: Team DPAV: 75002.698 | Ashveil: 28138.359 | MortenaxBlade: 38336.714 | Tribbie: 8259.382 | HuoHuo: 45.480
Run    3: Team DPAV: 74777.143 | Ashveil: 28239.357 | MortenaxBlade: 37940.147 | Tribbie: 8380.170 | HuoHuo: 45.480
Run    4: Team DPAV: 75805.203 | Ashveil: 30951.723 | MortenaxBlade: 36077.164 | Tribbie: 8533.459 | HuoHuo: 45.480
Run    5: Team DPAV: 73986.554 | Ashveil: 27464.044 | MortenaxBlade: 38436.709 | Tribbie: 7868.330 | HuoHuo: 45.480
Run    6: Team DPAV: 74981.964 | Ashveil: 28011.158 | MortenaxBlade: 38792.458 | Tribbie: 7935.492 | HuoHuo: 45.480
Run    7: Team DPAV: 74219.434 | Ashveil: 27871.180 | MortenaxBlade: 37744.105 | Tribbie: 8361.292 | HuoHuo: 45.480
Run    8: Team DPAV: 68125.941 | Ashveil: 27044.606 | MortenaxBlade: 33209.387 | Tribbie: 7679.866 | HuoHuo: 45.480
Run    9: Team DPAV: 68902.994 | Ashveil: 27935.914 | MortenaxBlade: 33014.872 | Tribbie: 7683.965 | HuoHuo: 45.480
Run   10: Team DPAV: 80744.709 | Ashveil: 32096.125 | MortenaxBlade: 39742.567 | Tribbie: 8713.935 | HuoHuo: 45.480
Run   11: Team DPAV: 69120.036 | Ashveil: 27562.264 | MortenaxBlade: 33737.980 | Tribbie: 7602.323 | HuoHuo: 45.480
Run   12: Team DPAV: 74660.615 | Ashveil: 27773.754 | MortenaxBlade: 38303.082 | Tribbie: 8391.696 | HuoHuo: 45.480
Run   13: Team DPAV: 75958.153 | Ashveil: 28214.306 | MortenaxBlade: 38733.376 | Tribbie: 8793.002 | HuoHuo: 45.480
Run   14: Team DPAV: 68160.901 | Ashveil: 27399.647 | MortenaxBlade: 32885.865 | Tribbie: 7658.336 | HuoHuo: 45.064
Run   15: Team DPAV: 75254.889 | Ashveil: 31158.842 | MortenaxBlade: 34822.992 | Tribbie: 9055.585 | HuoHuo: 45.480
Run   16: Team DPAV: 79631.573 | Ashveil: 31435.173 | MortenaxBlade: 38595.149 | Tribbie: 9358.395 | HuoHuo: 45.480
Run   17: Team DPAV: 71162.338 | Ashveil: 27669.840 | MortenaxBlade: 35051.712 | Tribbie: 8172.543 | HuoHuo: 45.480
Run   18: Team DPAV: 78854.846 | Ashveil: 30438.611 | MortenaxBlade: 39702.816 | Tribbie: 8445.175 | HuoHuo: 45.480
Run   19: Team DPAV: 71644.082 | Ashveil: 28184.047 | MortenaxBlade: 34865.929 | Tribbie: 8351.250 | HuoHuo: 45.480
Run   20: Team DPAV: 69630.941 | Ashveil: 27101.213 | MortenaxBlade: 34639.347 | Tribbie: 7647.941 | HuoHuo: 45.064
Run   21: Team DPAV: 70787.474 | Ashveil: 28081.101 | MortenaxBlade: 34805.349 | Tribbie: 7658.168 | HuoHuo: 45.480
Run   22: Team DPAV: 70517.024 | Ashveil: 28170.571 | MortenaxBlade: 34016.755 | Tribbie: 8112.229 | HuoHuo: 45.480
Run   23: Team DPAV: 78148.952 | Ashveil: 30709.930 | MortenaxBlade: 38440.584 | Tribbie: 8780.969 | HuoHuo: 45.480
Run   24: Team DPAV: 74210.348 | Ashveil: 27899.394 | MortenaxBlade: 38030.489 | Tribbie: 8037.609 | HuoHuo: 45.480
Run   25: Team DPAV: 69208.825 | Ashveil: 26625.968 | MortenaxBlade: 34722.750 | Tribbie: 7642.637 | HuoHuo: 45.480
Run   26: Team DPAV: 78801.777 | Ashveil: 30772.937 | MortenaxBlade: 38602.313 | Tribbie: 9183.670 | HuoHuo: 45.480
Run   27: Team DPAV: 69783.191 | Ashveil: 26902.720 | MortenaxBlade: 34997.080 | Tribbie: 7640.951 | HuoHuo: 45.064
Run   28: Team DPAV: 69245.611 | Ashveil: 27270.766 | MortenaxBlade: 34067.461 | Tribbie: 7715.718 | HuoHuo: 45.064
Run   29: Team DPAV: 73125.625 | Ashveil: 30089.909 | MortenaxBlade: 34395.422 | Tribbie: 8448.212 | HuoHuo: 45.480
Run   30: Team DPAV: 73611.627 | Ashveil: 27055.203 | MortenaxBlade: 37727.768 | Tribbie: 8560.411 | HuoHuo: 45.480
Run   31: Team DPAV: 71033.663 | Ashveil: 27958.239 | MortenaxBlade: 35131.190 | Tribbie: 7676.408 | HuoHuo: 45.064
Run   32: Team DPAV: 71467.768 | Ashveil: 27860.371 | MortenaxBlade: 35146.225 | Tribbie: 8192.929 | HuoHuo: 45.480
Run   33: Team DPAV: 79727.909 | Ashveil: 31491.544 | MortenaxBlade: 38832.518 | Tribbie: 9160.991 | HuoHuo: 45.480
Run   34: Team DPAV: 69328.546 | Ashveil: 27391.430 | MortenaxBlade: 33940.378 | Tribbie: 7728.495 | HuoHuo: 45.480
Run   35: Team DPAV: 70620.312 | Ashveil: 27859.055 | MortenaxBlade: 34884.089 | Tribbie: 7685.086 | HuoHuo: 45.480
Run   36: Team DPAV: 69895.082 | Ashveil: 27442.678 | MortenaxBlade: 34611.277 | Tribbie: 7623.658 | HuoHuo: 45.480
Run   37: Team DPAV: 78126.176 | Ashveil: 30965.060 | MortenaxBlade: 37940.147 | Tribbie: 9003.499 | HuoHuo: 45.480
Run   38: Team DPAV: 70244.056 | Ashveil: 28287.680 | MortenaxBlade: 33584.896 | Tribbie: 8052.462 | HuoHuo: 45.480
Run   39: Team DPAV: 71353.549 | Ashveil: 27935.327 | MortenaxBlade: 35026.038 | Tribbie: 8174.715 | HuoHuo: 45.480
Run   40: Team DPAV: 80963.493 | Ashveil: 32293.811 | MortenaxBlade: 39000.720 | Tribbie: 9349.945 | HuoHuo: 45.480
Run   41: Team DPAV: 70230.102 | Ashveil: 26788.709 | MortenaxBlade: 34829.708 | Tribbie: 8318.471 | HuoHuo: 45.064
Run   42: Team DPAV: 73691.053 | Ashveil: 27706.847 | MortenaxBlade: 37514.696 | Tribbie: 8252.040 | HuoHuo: 45.480
Run   43: Team DPAV: 73749.712 | Ashveil: 27620.565 | MortenaxBlade: 37652.367 | Tribbie: 8284.696 | HuoHuo: 45.480
Run   44: Team DPAV: 69948.829 | Ashveil: 27328.329 | MortenaxBlade: 34024.043 | Tribbie: 8277.856 | HuoHuo: 45.064
Run   45: Team DPAV: 68383.295 | Ashveil: 27473.699 | MortenaxBlade: 33075.454 | Tribbie: 7616.673 | HuoHuo: 45.480
Run   46: Team DPAV: 74662.795 | Ashveil: 28006.006 | MortenaxBlade: 37725.304 | Tribbie: 8688.629 | HuoHuo: 45.480
Run   47: Team DPAV: 69944.883 | Ashveil: 27502.934 | MortenaxBlade: 33855.430 | Tribbie: 8394.436 | HuoHuo: 45.480
Run   48: Team DPAV: 71162.338 | Ashveil: 27669.840 | MortenaxBlade: 35051.712 | Tribbie: 8172.543 | HuoHuo: 45.480
Run   49: Team DPAV: 79413.090 | Ashveil: 30857.360 | MortenaxBlade: 39542.060 | Tribbie: 8821.588 | HuoHuo: 45.480
Run   50: Team DPAV: 74346.640 | Ashveil: 28308.893 | MortenaxBlade: 37556.846 | Tribbie: 8263.431 | HuoHuo: 45.480
Run   51: Team DPAV: 68870.559 | Ashveil: 27038.942 | MortenaxBlade: 33959.118 | Tribbie: 7680.416 | HuoHuo: 45.480
