Simulation Results - 100 runs
================================================================================

Run   47: Team DPAV: 451139.471 | Sparxie: 310633.933 | YaoGuang: 137716.563 | Luocha: 1985.828 | Sparkle: 0.000
Run   48: Team DPAV: 465581.571 | Sparxie: 325131.239 | YaoGuang: 138181.660 | Luocha: 1592.046 | Sparkle: 0.000
Run   49: Team DPAV: 482117.804 | Sparxie: 337266.351 | YaoGuang: 142140.430 | Luocha: 1907.876 | Sparkle: 0.000
Run   50: Team DPAV: 478620.709 | Sparxie: 331980.480 | YaoGuang: 143910.582 | Luocha: 1938.312 | Sparkle: 0.000
Run   51: Team DPAV: 477862.921 | Sparxie: 331777.043 | YaoGuang: 143500.810 | Luocha: 1876.409 | Sparkle: 0.000
Run   52: Team DPAV: 461263.214 | Sparxie: 315856.724 | YaoGuang: 143204.813 | Luocha: 1546.704 | Sparkle: 0.000
Run   53: Team DPAV: 473753.705 | Sparxie: 327457.472 | YaoGuang: 143813.003 | Luocha: 1855.817 | Sparkle: 0.000
Run   54: Team DPAV: 481378.315 | Sparxie: 335482.902 | YaoGuang: 143770.451 | Luocha: 1469.989 | Sparkle: 0.000
Run   55: Team DPAV: 462972.358 | Sparxie: 320586.322 | YaoGuang: 140225.991 | Luocha: 1503.886 | Sparkle: 0.000
Run   56: Team DPAV: 482050.028 | Sparxie: 336296.400 | YaoGuang: 143164.876 | Luocha: 1900.315 | Sparkle: 0.000
Run   57: Team DPAV: 476903.059 | Sparxie: 333470.188 | YaoGuang: 140766.619 | Luocha: 1863.105 | Sparkle: 0.000
Run   58: Team DPAV: 496161.597 | Sparxie: 351340.206 | YaoGuang: 142156.052 | Luocha: 1874.003 | Sparkle: 0.000
Run   59: Team DPAV: 477972.473 | Sparxie: 333142.650 | YaoGuang: 142232.185 | Luocha: 1829.208 | Sparkle: 0.000
Run   60: Team DPAV: 488439.097 | Sparxie: 340182.750 | YaoGuang: 145959.460 | Luocha: 1528.457 | Sparkle: 0.000
Run   61: Team DPAV: 466903.583 | Sparxie: 323712.612 | YaoGuang: 140886.210 | Luocha: 1528.457 | Sparkle: 0.000
Run   62: Team DPAV: 488514.497 | Sparxie: 340815.508 | YaoGuang: 145073.279 | Luocha: 1850.122 | Sparkle: 0.000
Run   63: Team DPAV: 481008.448 | Sparxie: 333645.396 | YaoGuang: 144615.859 | Luocha: 1944.046 | Sparkle: 0.000
Run   64: Team DPAV: 475365.718 | Sparxie: 329619.542 | YaoGuang: 143076.808 | Luocha: 1885.907 | Sparkle: 0.000
Run   65: Team DPAV: 494780.669 | Sparxie: 346935.123 | YaoGuang: 145208.502 | Luocha: 1875.773 | Sparkle: 0.000
Run   66: Team DPAV: 478255.509 | Sparxie: 335478.669 | YaoGuang: 140302.306 | Luocha: 1838.709 | Sparkle: 0.000
Run   67: Team DPAV: 478049.183 | Sparxie: 333126.521 | YaoGuang: 142256.318 | Luocha: 1875.009 | Sparkle: 0.000
Run   68: Team DPAV: 471297.682 | Sparxie: 327004.049 | YaoGuang: 141629.653 | Luocha: 1887.676 | Sparkle: 0.000
Run   69: Team DPAV: 444843.654 | Sparxie: 305238.372 | YaoGuang: 136953.072 | Luocha: 1874.003 | Sparkle: 0.000
